query,id,title,abstract,fos,score
converting text to speech,1592893564,Segmenting unrestricted Chinese text into prosodic words instead of lexical words,"This paper stresses the importance of converting string lexical words to that prosodic in text-to-speech (TTS) systems by presenting surface differences and perceptual between them. statistical rule based method classification regression tree (CART) are proposed as solutions. Though ComplicatedSet CART performs best, achievement is obtained at cost heavy computation workloads needed parser. Statistical results higher recall but lower precision, comparing SimpleSet method. It very difficult tell which better, since we don't know affects naturalness more, precision or recall. Both them require only lexicon word segmentation part speech (POS) tagging preprocessing stage, easily realized TTS systems. Results preference test discloses significant improvements on perceived when strings converted into our approach.","Part of speech, Naturalness, Parsing, Speech recognition, Natural language, Artificial intelligence, Text segmentation, Rule-based system, Natural language processing, Pattern recognition, Speech synthesis, Lexicon, Computer science",3
big data,2222139884,"Big data, Big bang?","Using random sample consisting of hundreds companies worldwide, we are testing the impact on company performance investing in big data projects targeted three major business domains (namely, customer interface, supply chain and competitors). The test relies so-called trans-logarithmic production function, allowing for more direct complementarity between capital labour investments; further, have used Heckman correction to adjust fact that generally productive than their peers.","Information system, Data science, Data mining, Big Bang, Computer science, Competitor analysis, Sampling (statistics), Heckman correction, Supply chain, Big data, Data analysis",3
converting text to speech,2117390600,From text to speech summarization,"In this paper, we present approaches used in text summarization, showing how they can be adapted for speech summarization and where fall short. Informal style apparent lack of structure mean that the typical must extended use with speech. We illustrate features derived from help determine summary content within two ongoing projects at Columbia University.","Noisy text analytics, Audio mining, Automatic summarization, Speech recognition, Natural language processing, Text graph, Artificial intelligence, Speech synthesis, Speech corpus, Speech analytics, Pattern recognition, Text mining, Computer science",0
reinforcement learning in video game,2166159790,Video summarization using reinforcement learning in eigenspace,"We propose video summarization using reinforcement learning. The importance score of each frame in is calculated from the user's actions handling similar previous frames; if such frames were watched rather than skipped, high assigned. To calculate score, instead raw feature vectors extracted images, we use projected on eigenspace: as result, can deal with features comprehensively. also give an algorithm that uses learning method to create personalized summary. applied soccer confirm its effectiveness.","Automatic summarization, Computer vision, Reinforcement learning, Artificial intelligence, Eigenvalues and eigenvectors, Feature extraction, Feature vector, Pattern recognition, Video tracking, Computer science, Video quality",0
big data,2401974969,"Tupleware: ""Big"" Data, Big Analytics, Small Clusters","There is fundamental discrepancy between the targeted and actual users of current analytics frameworks. Most systems are designed for challenges Googles Facebooks world— processing petabytes data distributed across large cloud deployments consisting thousands cheap commodity machines. Yet, vast majority analyze relatively small datasets up to several terabytes in size, perform primarily compute-intensive operations, operate clusters ranging from only few dozen nodes. Targeting these fundamentally changes way we should build systems. This paper describes our vision design TUPLEWARE, new system specifically aimed at complex on clusters. TUPLEWARE’s architecture brings together ideas database compiler communities create powerful end-to-end solution analysis that compiles workflows user-defined functions into programs. Our preliminary results show performance improvements three orders magnitude over alternative","Data mining, Computer science, Terabyte, Analytics, Database, Architecture, Ranging, Workflow, Big data, Compiler, Cloud computing",3
big data,9142383,Benchmarking Spatial Big Data,"Increasingly, location-aware datasets are of size, variety, and update rate that exceeds the capability spatial computing technologies. This paper addresses emerging challenges posed by such datasets, which we call Spatial Big Data SBD. SBD examples include trajectories cell-phones GPS devices, vehicle engine measurements, temporally detailed road maps, etc. has potential to transform society via number new technologies including next-generation routing services. However, envisaged SBD-based services pose several significant for current techniques. magnifies impact partial information ambiguity traditional queries specified start location an end location. In addition, assumption single algorithm utilizing specific dataset is appropriate all situations. The tremendous diversity sources substantially increases solution methods. Newer algorithms may emerge as becomes available, creating need flexible architecture rapidly integrate associated algorithms. To quantify performance these algorithms, benchmarks needed focus on big ensure proper comparisons across","Global Positioning System, Architecture, Benchmarking, Ambiguity, Big data, Data mining, Engineering",3
reinforcement learning in video game,2399570347,Learning policies for first person shooter games using inverse reinforcement learning,"The creation of effective autonomous agents (bots) for combat scenarios has long been goal the gaming industry. However, secondary consideration is whether bots behave like human players; this especially important simulation/training applications which aim to instruct participants in real-world tasks. Bots often compensate lack acumen with advantages such as accurate targeting, predefined navigational networks, and perfect world knowledge, makes them challenging but predictable opponents. In paper, we examine problem teaching bot play first-person shooter game scenarios. Our learns attack, exploration targeting policies from data collected expert player demonstrations Unreal Tournament.  We hypothesize that one key difference between players lies relative valuation states. To capture internal model used by evaluate benefits different actions, use inverse reinforcement learning learn rewards We report results subjects' study evaluating performance learned demonstration against set standard policies. reveals found our be significantly more human-like than during play. technique represents promising stepping-stone toward addressing challenges Bot Turing Test (the CIG 2K Competition).","Computer science, Autonomous agent, Turing test, Relative valuation, Artificial intelligence, Machine learning, Simulation, Reinforcement learning",3
reinforcement learning in video game,1969685488,Reinforcement learning agents providing advice in complex video games,"This article introduces teacher–student framework for reinforcement learning, synthesising and extending material that appeared in conference proceedings [Torrey, L., Taylor, M. E. (2013)]. Teaching on budget: Agents advising agents learning. {Proceedings of the international autonomous multiagent systems}] non-archival workshop paper [Carboni, N., &Taylor, (2013, May)]. Preliminary results vs. tactics StarCraft. adaptive learning (at AAMAS-13)}]. In this framework, teacher agent instructs student by suggesting actions should take as it learns. However, may only give such advice limited number times. We present several novel algorithms teachers can use to budget their effectively, we evaluate them two complex video games: StarCraft Pac-Man. Our show same amount advice, given at different moments, have differe...","Computer science, Artificial intelligence, Autonomous agent, Machine learning, Reinforcement learning, Information and Computer Science, Multi-agent system",3
efficient estimation of word representations in vector space,2472952455,Improving Language Estimation with the Paragraph Vector Model for Ad-hoc Retrieval,"Incorporating topic level estimation into language models has been shown to be beneficial for information retrieval (IR) such as cluster-based and LDA-based document representation. Neural embedding models, paragraph vector (PV) on the other hand have their effectiveness efficiency in learning semantic representations of documents words multiple Natural Language Processing (NLP) tasks. However, is mostly unknown. In this paper, we study how effectively use PV model improve ad-hoc retrieval. We propose three major improvements over original adapt it IR scenario: (1) frequency-based rather than corpus negative sampling strategy so that importance frequent will not suppressed excessively; (2) introduce regularization representation prevent overfitting short along with iterations; (3) employ joint objective which considers both document-word word-context associations produce better word probability estimation. By incorporating enhanced modeling framework, show can significantly outperform state-of-the-art models.","Computer science, Information retrieval, Overfitting, Embedding, Paragraph, Sampling (statistics), Vector space model, Language model, Machine learning, Artificial intelligence, Regularization (mathematics)",3
converting text to speech,2124924501,The DEMOSTHeNES speech composer.,"In this paper we present the design and development of modular scalable speech composer named DEMOSTHeNES. It has been designed for converting plain or formatted text (e.g. HMTL) to combination audio signals. DEMOSTHeNES' architecture constitutes an extension current Text-to-Speech systems’ structure that enables open set module-defined functions interact with under processing at any stage text-tospeech conversion. Details on its implementation are given here. Furthermore, some techniques handling prosody generation using","Speech recognition, Audio signal, Prosody, Modular design, Architecture, Natural language processing, Formatted text, Open set, Scalability, Speech synthesis, Computer science, Artificial intelligence",3
natural language interface,2048867126,Rapid porting of the Parlance natural language interface,"Developing knowledge bases for AI systems takes too long and costs much. Even ""portable"" system may be expensive to use because its installation time or requires the labor of scarce, highly-trained people. BBN has recently created tool acquisition which dramatically reduces cost installing natural language system.During 1988, used Learner™ configure Parlance™ database interface two different versions large Navy database. The configuration process was performed primarily with development Learner, is software creating bases, vocabulary, mappings that enable Parlance understand questions addressed particular Learner reduced required create configurations from months weeks, demonstrated works effectively on databases many hundreds fields.","Natural language, Natural language processing, Speech recognition, Artificial intelligence, Vocabulary, Installation, Natural language user interface, Computer science, Software, Porting",3
big data,2439008315,Guest Editorial: Big Data,"Computer vision has split personality. Within the same field, and largely guided by set of fundamental algorithms, it combines two problems that are utterly disparate in their aims philosophy—here we will call them “Vision as Measurement” Understanding”. Measurement deal with obtaining objective, quantifiable information about physical world (e.g. scene depth meters, visual angle radians, light-source brightness candelas-per-meter-squared, etc.). akin to physics—they well-posed validity solution can always be testedwith an experiment. Employing careful or geometric modeling rigorous mathematics, this area been quite successful solving number important problems, such stereo structurefrom-motion. Vision Understanding, on other hand, much more do psychology philosophy than physics mathematics. The goals defined not terms objective quantities, but subjective, observer-centric tasks. Implicit tasks “find table image” deeper issues involving notion what is meant “table”, which could vary across cultures, contexts, even individual observers. Because this, approaches based concise models elegant proved so at","Artificial intelligence, Machine learning, Philosophy of psychology, Visual angle, Computer science, Brightness, Geometric modeling, Big data, Personality",3
big data,2582589033,Cognitive big data: survey and review on big data research and its implications. What is really “new” in big data?,"Purpose     The purpose of this paper is to introduce and define Cognitive Big Data as concept. Furthermore, it investigates what really “new” in Data, seems be hyped-up concept that has emerged during recent years. The also broaden the discussion around far beyond common 4V (velocity, volume, veracity variety) model.     Design/methodology/approach     The authors established an expert think tank discuss notion identify new characteristics re-think idea by analyzing over 60 literature resources. They identified typical baseline scenarios (traffic, business processes, retail, health social media) starting point from which they explored different perspectives.     Findings     They concluded simply not recognized need approach toward Data. introduced five-Trait Framework for “Cognitive Data”, socio-technical system, data space, richness, knowledge management (KM)/decision-making visualization/sensory presentation.     Research limitations/implications     The viewpoint centered on cognitive processes KM process.     Practical implications     Data made available understandable form right application context portion size can turned into eventually wisdom. know about ignored, are aware (dark data) fully utilized analysis (light data). In foreground extension human mental capabilities understandability.     Social implications     Cognitive implies socio-technological system.     Originality/value     Introduction framework.","Business process, Dark data, Originality, Knowledge management, Information management, Need to know, Computer science, Knowledge-based systems, Data science, Big data, Data quality",3
converting text to speech,2118782751,Multilingual text analysis for text-to-speech synthesis,"We present model of text analysis for text-to-speech (TTS) synthesis based on weighted finite state transducers, which serves as the text-analysis module multilingual Bell Labs TTS system. The transducers are constructed using lexical toolkit that allows declarative descriptions lexicons, morphological rules, numeral expansion and phonological inter alia. To date, has been applied to eight languages: Spanish, Italian, Romanian, French, German, Russian, Mandarin Japanese.","Speech recognition, Natural language, Natural language processing, Numeral system, Phonological rule, Speech synthesis, Artificial intelligence, Finite-state machine, Romanian, German, Computer science, Text mining",3
converting text to speech,2045593237,Visual signals in text comprehension: How to restore them when oralizing a text via a speech synthesis?,"Abstract It has been assumed theoretically and established empirically that text signals exert an influence on memorization comprehension. The study investigates whether the restoration of visual improve comprehension when automatically converting into speech. Participants listened to restaurant menu oralized by text-to-speech synthesis. used in were restored either with discursive segments, prosodic cues, or picture text, displayed before during listening. had perform tasks assessing their exerts participants’ recall but these effects vary according mean task. When are not restored, individuals construct erroneous representation situation described leading misinterpretation meaning, whereas restorations involve construction adequate representation.","Active listening, Prosody, Natural language processing, Psychology, Perception, Memorization, Architecture, Speech synthesis, Comprehension, Text processing, Artificial intelligence",3
converting text to speech,1976214863,Normalization of text messages for text-to-speech,"This paper describes normalization system for text messages to allow them be read by TTS engine. To address the large number of texting abbreviations, we use statistical classifier learn when delete character. The features are based on character context, function, and position in word containing syllable. ensure that our is robust different abbreviations word, generate multiple abbreviation hypotheses each classifier's prediction. We then reverse mappings enable prediction English words from abbreviations. Our results show this approach feasible warrants further exploration.","Normalization (statistics), Text normalization, Artificial intelligence, Classifier (linguistics), Robustness (computer science), Pattern recognition, Syllable, Speech synthesis, Hidden Markov model, Computer science",3
reinforcement learning in video game,2291986326,Deep Reinforcement Learning from Self-Play in Imperfect-Information Games,"This thesis investigates artificial agents learning to make strategic decisions in imperfect-information games. In particular, we introduce novel approach reinforcement from self-play. We Smooth UCT, which combines the game-theoretic notion of fictitious play with Monte Carlo Tree Search (MCTS). UCT outperformed classic MCTS method several poker games and won three silver medals 2014 Annual Computer Poker Competition. develop Extensive-Form Fictitious Play (XFP) that is entirely implemented sequential strategies, thus extending this prominent model XFP provides principled foundation for self-play Self-Play (FSP), class sample-based algorithms approximate XFP. instantiate FSP neuralnetwork function approximation deep techniques, producing Neural (NFSP). demonstrate (approximate) Nash equilibria their representations (abstractions) can be learned using NFSP end end, i.e. interfacing raw inputs outputs domain. approached performance state-of-the-art, superhuman Limit Texas Hold’em an game at absolute limit tractability massive computational resources. first time any algorithm, solely outcomes without prior domain knowledge, achieved such feat.","Domain knowledge, Fictitious play, Machine learning, Reinforcement learning, Monte Carlo tree search, Function approximation, Deep learning, Perfect information, Computer science, Nash equilibrium, Artificial intelligence",3
reinforcement learning in video game,1584307643,High-level reinforcement learning in strategy games,"Video games provide rich testbed for artificial intelligence methods. In particular, creating automated opponents that perform well in strategy is difficult task. For instance, human players rapidly discover and exploit the weaknesses of hard coded strategies. To build better strategies, we suggest reinforcement learning approach policy switches between high-level These strategies are chosen based on different game situations fixed opponent strategy. Our agents able to adapt improve deficiencies as results demonstrate.","Exploit, Hard coding, Artificial intelligence, Turns, rounds and time-keeping systems in games, Machine learning, Reinforcement learning, Computer science, Testbed, Simulation, Adversary",0
natural language interface,2134790312,Towards a Natural Language Interface for CAD,"We propose natural language interface as part of the solution to problems posed by continuing increase in number and sophistication CAD tools. The advantages for are numerous, but complexity domain renders most previous work interfaces limited utility. describe new approach understanding which we implementing an currently under development. This is based on flexibility, parallelism, redundancy. present status (named Cleopatra) described, some imperative improvements discussed.","Natural language, Redundancy (engineering), Natural language understanding, Sophistication, Natural language processing, Very-large-scale integration, Natural language user interface, Interface description language, Computer science, Electronic design automation, Artificial intelligence",3
natural language interface,2102452597,KID Designing a Knowledge-Based Natural Language Interface,,"Knowledge base, Fourth-generation programming language, Natural language, Fifth-generation programming language, Natural language processing, Second-generation programming language, Comparison of multi-paradigm programming languages, Natural language user interface, Artificial intelligence, Computer science, Third-generation programming language",3
efficient estimation of word representations in vector space,2799894091,From Word to Sense Embeddings: A Survey on Vector Representations of Meaning.,"Over the past years, distributed representations have proven effective and flexible keepers of prior knowledge to be integrated into downstream applications. This survey is focused on semantic representation meaning. We start from theoretical background behind word vector space models highlight one their main limitations: meaning conflation deficiency, which arises representing with all its possible meanings as single vector. Then, we explain how this deficiency can addressed through transition level more fine-grained senses (in broader acceptation) method for modelling unambiguous lexical present comprehensive overview wide range techniques in two branches sense representation, i.e., unsupervised knowledge-based. Finally, covers evaluation procedures provides an analysis five important aspects: interpretability, granularity, adaptability different domains, compositionality integration","Machine learning, Lexical definition, Artificial intelligence, Vector space, Adaptability, Principle of compositionality, Conflation, Mathematics, Granularity, Interpretability",3
big data,2398459281,Big Data Space Fungus.,"1. MOTIVATION The big data questions addressed in the database community remind me of famous fable invention Chess. ""When creator game chess (in some tellings an ancient Indian mathematician, ...) showed his to ruler country, was so pleased that he gave inventor right name prize for invention. man, who very wise, asked king this: first square board, would receive one grain wheat tellings, rice), two second one, four on third ...""[wikipedia] Big Data hype resembles scientist fanatically fills squares board. Furthermore, it appears as is if computer scientists and engineers acts faithful civil servants, go after their treasure chest, putting board ever more powerful, increasing piles hardware. Every 1.5 year we double amount processing power. futile activity has clearly identified thousands years ago. corollary payment scheme using rice (or wheat) not only you can find enough universe, will also never be able consume collected. lesson Don’t collect (wheat) eat, otherwise rot away storage. This shows way out deluge dilemma. We should recognize respect natural laws freshness rotting core our analytics offerings.","Advertising, Corollary, Ruler, Treasure, Data mining, Computer science, As is, Payment, Big data, Dilemma, Fable",3
converting text to speech,2024218073,A speech synthesizer for Persian text using a neural network with a smooth ergodic HMM,"The feasibility of converting text into speech using an inexpensive computer with minimal memory is great interest. Speech synthesizers have been developed for many popular languages (e.g., English, Chinese, Spanish, French, etc.), but designing synthesizer language largely dependant on the structure. In this article, we develop Persian that includes innovative analyzer module. synthesizer, segmented words and after preprocessing, neural network passed over each word. addition to new model (SEHMM) used as postprocessor compensate errors generated by network. performance proposed verified intelligibility synthetic assessed via listening tests.","Time delay neural network, Active listening, Natural language processing, Speech recognition, Intelligibility (communication), Artificial intelligence, Spectrum analyzer, Artificial neural network, Speech synthesis, Preprocessor, Machine learning, Computer science, Hidden Markov model",3
natural language interface,168216068,Natural Language Interface Using Shallow Parsing.,"This paper deals with natural language interface, which accepts questions as inputs and generates textual responses. In processing, key-word matching based paradigm generate answers, however these answers frequently affected by certain dependant phenomena such semantic symmetry ambiguous modification. Available techniques, described in the literature, deal problems using depth parsing. this paper, we will present rules to tackle linguistic shallow parsing discuss advantages of novel Natural Language Interface comprising algorithms conjunction some intelligent techniques train system. Experimental results show that approach can analyze wide range high accuracy produce reasonable","Parsing, Natural language, Artificial intelligence, Machine learning, Computer science, Natural language user interface, Shallow parsing",3
converting text to speech,205185618,A Chinese text-to-speech system.,,"Speech recognition, Chinese speech synthesis, Speech synthesis, Computer science, Speech corpus",3
big data,2611978019,Big Data Integration,"Big Data are collections of data sets so large and complex to process using classical database management tools. Their main characteristics volume, variety velocity. integration is new research area that faces challenges due these characteristics. Ontologies represent knowledge as formal description domain interest. They widely used in integration. This paper illustrates an approach for ontology based taking into account their Our on NOSQL namely MongoDB modular ontologies. It follows three steps: wrapping sources databases, generating local ontologies, composing the ontologies get global one. tool implementing generation also detailed.","Ontology learning, Data mining, NoSQL, Ontology-based data integration, Data integration, Computer science, Data set, Database, Modular design, Big data, Ontology (information science)",3
converting text to speech,2234508350,Quaero Speech-to-Text and Text Translation Evaluation Systems,"Our laboratory has used the HP XC4000, high performance computer of federal state Baden-Wnrttemberg, in order to participate second Quaero evaluation for automatic speech recognition (ASR) and Machine Translation (MT). State-of-the-art machine translation systems train use stochastic models which are trained on large amounts training data using techniques from field learning. Using these search most likely hypothesis, hypothesis respectively.","Computer science, Machine translation, Speech recognition, Acoustic model, Stochastic modelling",0
efficient estimation of word representations in vector space,1503441655,Measuring Word Relatedness Using Heterogeneous Vector Space Models,"Noticing that different information sources often provide complementary coverage of word sense and meaning, we propose simple yet effective strategy for measuring lexical semantics. Our model consists committee vector space models built on text corpus, Web search results thesauruses, measures the semantic relatedness using averaged cosine similarity scores. Despite its simplicity, our system correlates with human judgements better or similarly compared to existing methods several benchmark datasets, including WordSim353.","Natural language processing, Machine learning, Cosine similarity, Lexical semantics, Vector space model, Artificial intelligence, Vector space, Computer science, Text corpus",3
reinforcement learning in video game,2038503397,Reinforcement learning to train Ms. Pac-Man using higher-order action-relative inputs,"Reinforcement learning algorithms enable an agent to optimize its behavior from interacting with specific environment. Although some very successful applications of reinforcement have been developed, it is still open research question how scale up large dynamic environments. In this paper we will study the use on popular arcade video game Ms. Pac-Man. order let Pac-Man quickly learn, designed particular smart feature extraction that produce higher-order inputs game-state. These are then given neural network trained using Q-learning. We constructed features which relative action single sequentially propagates action-relative obtain different Q-values actions. The experimental results show approach allows only input units in network, while obtaining good playing behavior. Furthermore, experiments our enables successfully transfer learned policy maze was not before.","Robot learning, Learning classifier system, Competitive learning, Feature learning, Feature extraction, Unsupervised learning, Artificial neural network, Reinforcement learning, Machine learning, Computer science, Artificial intelligence",3
reinforcement learning in video game,1585067080,Automatically Generating Game Tactics through Evolutionary Learning,"The decision-making process of computer-controlled opponents in video games is called game AI. Adaptive AI can improve the entertainment value by allowing to ix weaknesses automatically and respond changes human-player tactics. Dynamic scripting reinforcement learning approach adaptive that learns, during gameplay, which tactics an opponent should select play effectively. In previous work, used dynamic were designed manually. We introduce evolutionary state-based generator (ESTG), uses algorithm generate automatically. Experimental results show ESTG improves scripting's performance real-time strategy game. conclude high-quality domain knowledge be generated for strong opponents. Game developers bene it from applying ESTG, as considerably reduces time effort needed create","Sequential game, Machine learning, Non-cooperative game, Simulation, Simulations and games in economics education, Computer science, Game development tool, Game design, Artificial intelligence, Game Developer, Win-win game, Game mechanics",3
efficient estimation of word representations in vector space,2251066368,Evaluation of Word Vector Representations by Subspace Alignment,"Unsupervisedly learned word vectors have proven to provide exceptionally effective features in many NLP tasks. Most common intrinsic evaluations of vector quality measure correlation with similarity judgments. However, these often correlate poorly how well the representations perform as downstream evaluation We present QVEC—a computationally inexpensive embeddings based on alignment matrix extracted from manually crafted lexical resources—that obtains strong performance battery semantic tasks.1","Machine learning, Computer science, Matrix (mathematics), Random subspace method, Subspace topology, Pattern recognition, Artificial intelligence, Correlation",3
reinforcement learning in video game,2017980908,EXPERIMENTS WITH ONLINE REINFORCEMENT LEARNING IN REAL-TIME STRATEGY GAMES,"Real-time strategy (RTS) games provide challenging platform to implement online reinforcement learning (RL) techniques in real application. Computer, as one game player, monitors opponents’ (human or other computers) strategies and then updates its own policy using RL methods. In this article, we first examine the suitability of applying various computer games. Reinforcement application depends on both complexity features. We propose multi-layer framework for implementing an RTS game. The significantly reduces computational by decomposing state space hierarchical manner. game—Tank General—and perform thorough test proposed framework. consider three typical profiles players compare two basic applied results show effectiveness our shed light relevant issues","Machine learning, Artificial intelligence, Computer science, State space, Reinforcement learning, Real-time strategy, Simulation, Computational complexity theory",3
