paper,id,title,abstract,fos,score
Natural Language Interface Using Shallow Parsing.,2116144811,A Language Independent Shallow-Parser Compiler,"We present rule--based shallow--parser compiler, which allows to generate robust shallow-parser for any language, even in the absence of training data, by resorting very limited number rules aim at identifying constituent boundaries. contrast our approach other approaches used shallow--parsing (i.e. finite-state and probabilistic methods). an evaluation tool English (Penn Treebank) French (newspaper corpus ""LeMonde"") several tasks (NP-chunking ""deeper"" parsing).","Natural language processing, Parsing, Rule-based system, Probabilistic method, Shallow parsing, Artificial intelligence, Compiler, Treebank, Programming language, Computer science",0
Natural Language Interface Using Shallow Parsing.,2534380090,Eviza: A Natural Language Interface for Visual Analysis,"Natural language interfaces for visualizations have emerged as promising new way of interacting with data and performing analytics. Many these systems fundamental limitations. Most return minimally interactive in response to queries often require experts perform modeling set predicted user before the are effective. Eviza provides natural interface an query dialog existing visualization rather than starting from blank sheet asking closed-ended questions that single text answer or static visualization. The system employs probabilistic grammar based approach predefined rules dynamically updated on visualization, opposed computationally intensive deep learning knowledge approaches. result interaction is change view e.g., filtering, navigation, selection) providing graphical answers ambiguity widgets handle ambiguous defaults. There also rich domain awareness time, space, quantitative reasoning built in, linking into bases additional semantics. supports pragmatics exploring multi-modal interactions help enhance expressiveness how users can ask about their during flow visual analysis.","Qualitative reasoning, Parsing, Visualization, Analytics, Computer science, Natural language processing, Probabilistic logic, Visual analytics, Natural language user interface, Dialog box, Artificial intelligence",0
Natural Language Interface Using Shallow Parsing.,1560797712,PANTO: A Portable Natural Language Interface to Ontologies,"Providing natural language interface to ontologies will not only offer ordinary users the convenience of acquiring needed information from ontologies, but also expand influence and semantic web consequently. This paper presents PANTO, Portable nAtural laNguage inTerface Ontologies, which accepts generic queries outputs SPARQL queries. Based on special consideration nominal phrases, it adopts triple-based data model interpret parse trees output by an off-the-shelf parser. Complex modifications in such as negations, superlative comparative are investigated. The experiments have shown that PANTO provides state-of-the-art results.","Natural language, Parsing, Semantic Web, Database, Natural language processing, Natural language programming, Data model, Computer science, Ontology (information science), SPARQL, Natural language user interface, Artificial intelligence",0
Reinforcement Learning in First Person Shooter Games,2003386389,Machine learning in digital games: a survey,"Artificial intelligence for digital games constitutes the implementation of set algorithms and techniques from both traditional modern artificial in order to provide solutions range game dependent problems. However, majority current approaches lead predefined, static predictable agent responses, with no ability adjust during game-play behaviour or playing style player. Machine learning way improve behavioural dynamics computer controlled agents by facilitating automated generation selection behaviours, thus enhancing capabilities providing opportunity create more engaging entertaining experiences. This paper provides survey state academic machine research environments, respect use neural networks, evolutionary computation reinforcement control.","Computer science, Artificial intelligence, Machine learning, Evolutionary computation, Simulation, Reinforcement learning, Hyper-heuristic, Game testing, Artificial neural network, Game design, Computational intelligence, Game mechanics",0
Big Data Framework,2075835333,Big data as the new enabler in business and other intelligence,"The term ""big data"" will always be remembered as the big buzzword of 2013. According to Wikipedia, data ""is collection sets so large and complex that it becomes difficult process using on-hand database management tools"". In other perceptions, ""3 Vs"" characterize (i.e., volume, velocity, variety) or ""4 (adding veracity previous three) are responsible for fact exceeds an organization's own well its storage compute capacity accurate timely decision-making. essence, refers situation more aspects artifacts everyday life, personal professional, available in digital form, e.g., company profiles, social network blog postings, buying histories, health records, name just few, increasingly gets dynamically produced especially on Internet Web, nowadays tools techniques evaluating analyzing all various combinations. Numerous companies already foresee enormous business effects analytical scenarios based can have, impacts hence have advertising, commerce, intelligence (BI). This paper reviews issues, techniques, applications data, with emphasis future BI architectures.","Business intelligence, Social network, Computer science, Enabling, Data mining, Data set, Big data, Business analytics, Everyday life, The Internet",0
Natural Language Interface Using Shallow Parsing.,1518289136,A logic programming based approach to QA@CLEF05 track,"In this paper the methodology followed to build question-answering system for Portuguese language is described. The modules are built using computational linguistic tools such as: parser based on constraint grammars syntactic analysis of documents sentences and user questions; semantic interpreter that rewrites into discourse representation structures in order obtain corpus questions representation; finally, semantic/pragmatic knowledge base with facts extracted from ontologies (general domain specific) logic inference. This article includes evaluation under CLEF’05 question answering track.","Semantics, Parsing, Question answering, Natural language processing, Inference, Artificial intelligence, Logic programming, Constraint Grammar, Computer science, Rule-based machine translation, Interpreter",0
Efficient Estimation of Word Representations in Vector Space,2503134594,Joint Embedding of Hierarchical Categories and Entities for Concept Categorization and Dataless Classification.,"Due to the lack of structured knowledge applied in learning distributed representation cate- gories, existing work cannot incorporate category hierarchies into entity information. We propose framework that embeds entities and categories semantic space by integrating taxonomy hierarchy from large bases. The allows com- pute meaningful relatedness between categories. Our can han- dle both single-word concepts multiple-word with superior performance on concept categorization yield state art results dataless hierarchical classification.","Artificial intelligence, Hierarchy, Natural language processing, Machine learning, Computer science, Pattern recognition, Embedding, Semantic similarity, Categorization",0
Big Data Framework,28784159,TPC-H Benchmark Analytics Scenarios and Performances on Hadoop Data Clouds,"NoSQL systems rose alongside internet companies, which have different challenges in dealing with data that the traditional RDBMS solutions could not cope with. Indeed, order to handle continuous growth of data, alternatives feature dynamic horizontal scaling rather than vertical scaling. To date few studies address OLAP benchmarking systems. This paper overviews and adjacent technologies, evaluates Hadoop/Pig using TPC-H benchmark, through two scenarios clouds. The first scenario assumes is saved on cloud business questions are routed for processing; while second pre-summarized calculus step multidimensional analysis step. Finally, reports thorough performance tests Hadoop various volumes, workloads, cluster’ sizes.","NoSQL, Online analytical processing, Multidimensional analysis, Data mining, Analytics, Database, Benchmarking, Relational database management system, The Internet, Computer science, Cloud computing",0
Efficient Estimation of Word Representations in Vector Space,2162456950,Efficient Non-parametric Estimation of Multiple Embeddings per Word in Vector Space,"There is rising interest in vector-space word embeddings and their use NLP, especially given recent methods for fast estimation at very large scale. Nearly all this work, however, assumes single vector per type—ignoring polysemy thus jeopardizing usefulness downstream tasks. We present an extension to the Skip-gram model that efficiently learns multiple type. It differs from related work by jointly performing sense discrimination embedding learning, non-parametrically estimating number of senses type, its efficiency scalability. new state-of-the-art results similarity context task demonstrate scalability training with one machine on corpus nearly billion tokens less than hours.","Machine learning, Natural language processing, Artificial intelligence, Nonparametric statistics, Vector space, Polysemy, Embedding, Computer science, Scalability",0
Reinforcement Learning in First Person Shooter Games,2083958377,Adaptive Shooting for Bots in First Person Shooter Games Using Reinforcement Learning,"In current state-of-the-art commercial first person shooter games, computer controlled bots, also known as nonplayer characters, can often be easily distinguishable from those by humans. Tell-tale signs such failed navigation, “sixth sense” knowledge of human players' whereabouts and deterministic, scripted behaviors are some the causes this. We propose, however, that one biggest indicators nonhumanlike behavior in these games found weapon shooting capability bot. Consistently perfect accuracy “locking on” to opponents their visual field any distance indicative capabilities bots not players. Traditionally, bot is handicapped way with either timed reaction delay or random perturbation its aim, which doesn't adapt improve technique over time. hypothesize enabling learn skill through trial error, same player learns, will lead greater variation game-play produce less predictable characters. This paper describes reinforcement learning mechanism for adapting time based on dynamic reward signal amount damage caused opponents.","Machine learning, Simulation, Trial and error, Artificial intelligence, Computer science, Reinforcement learning",0
Reinforcement Learning in First Person Shooter Games,2000276210,DRE-Bot: A hierarchical First Person Shooter bot using multiple Sarsa(λ) reinforcement learners,"This paper describes an architecture for controlling non-player characters (NPC) in the First Person Shooter (FPS) game Unreal Tournament 2004. Specifically, DRE-Bot is made up of three reinforcement learners, Danger, Replenish and Explore, which use tabular Sarsa(λ) algorithm. algorithm enables NPC to learn through trial error building experience over time approach inspired by human learning. Experimentation carried measure performance when competing against fixed strategy bots that ship with game. The discount parameter, γ, trace λ, are also varied see if their values have effect on performance.","Machine learning, Simulation, Multimedia, Trial and error, Tournament, Reinforcement, Computer science, Reinforcement learning, Architecture, Artificial intelligence",0
Natural Language Interface Using Shallow Parsing.,2062943553,TRUMP : a transportable language understanding program,"Transportability has perpetually been the nemesis of natural language processing systems, in both research and commercial sectors. During last 20 years, technology not moved much closer to providing robust coverage everyday language, failed produce successes beyond few specialized interfaces application programs. redesign required for each limited impact systems. Trump (TRansportable Understanding Mechanism Package) is analyzer that functions variety domains, text processing. While other similar efforts have treated transportability as problem knowledge engineering, instead relies mainly on “core” about set techniques applying within domain. information words, word meanings, linguistic relations this generic base guides conceptual framework interpretation Turmp uses core piece together representation input by combining inforamtion. result system capable performing fairly extensive analysis with minimum customization application.","Universal Networking Language, Natural language, Knowledge representation and reasoning, Question answering, Language technology, Object language, Natural language processing, Natural language programming, Language industry, Computer science, Artificial intelligence",0
Reinforcement Learning in First Person Shooter Games,2167549055,Computer Go: A Grand Challenge to AI,"The oriental game of Go is among the most tantalizing unconquered challenges in artificial intelligence after IBM's DEEP BLUE beat world Chess champion 1997. Its high branching factor prevents conventional tree search approach, and long-range spatiotemporal interactions make position evaluation extremely difficult. Thus, attracts researchers from diverse fields who are attempting to understand how computers can represent human playing win against humans. Numerous publications already exist on this topic with different motivations variety application contexts. This chapter surveys methods some related works used computer published 1970 until now, offers basic overview for future study. We also present our attempts simulation results building non-knowledge engine, using novel hybrid evolutionary computation algorithm, Capture game.","Evolutionary algorithm, Game art design, Computer Go, Go and mathematics, Evolutionary computation, Game tree, Branching factor, Game mechanics, Artificial intelligence, Computer science",0
Natural Language Interface Using Shallow Parsing.,1967187665,Exploiting aspectual features and connecting words for summarization-inspired temporal-relation extraction,"This paper presents model that incorporates contemporary theories of tense and aspect develops new framework for extracting temporal relations between two sentence-internal events, given their tense, aspect, connecting word relating the events. linguistic constraint on event combination has been implemented to detect incorrect parser analyses potentially apply syntactic reanalysis or semantic reinterpretation-in preparation subsequent processing multi-document summarization. An important contribution this work is extension different existing theoretical frameworks-Hornstein's 1990 theory analysis Allen's 1984 ordering-and both into unified system representing constraining combinations types (points, closed intervals, open-ended intervals). We show our results have verified in large-scale corpus analysis. The designed inform temporally motivated sentence-ordering module an summarization system.","Phrase, Parsing, Relationship extraction, Grammatical tense, Information extraction, Multi-document summarization, Automatic summarization, Natural language processing, Syntax, Computer science, Artificial intelligence",0
Natural Language Interface Using Shallow Parsing.,1516154677,Large lexicons for natural language processing: utilising the grammar coding system of LDOCE,"This article focusses on the derivation of large lexicons for natural language processing. We describe development dictionary support environment linking restructured version Longman Dictionary Contemporary English to processing systems. The process restructuring information in machine readable is discussed. grammar code system used construct 'theory neutral' lexical entries. demonstrate how such entries can be put practical use by up described here with experimental PATR-II environment. Finally, we offer an evaluation utility coding automatic parsing","Generative grammar, Natural language, Natural language processing, Parsing, Machine-readable dictionary, Language identification, Artificial intelligence, Emergent grammar, Grammar, Lexical grammar, Computer science",0
Novel-word pronunciation within a text-to-speech system,1501108632,Word and syllable models for German text-to-speech synthesis.,"The correct pronunciation of unknown or novel words is one the biggest challenges for text-to-speech systems. In this paper we describe implementation word analysis as central component text module in Bell Labs German system. based on model morphological structure and study productivity forming affixes. One important subcomponent phonotactic syllable which enables system to handle orthographic substrings that are unaccounted by explicitly listed morphemes. Finally, discuss issues future research.","Speech recognition, Phonotactics, Morpheme, Chinese speech synthesis, Natural language processing, Pronunciation, Syllable, Speech corpus, Speech synthesis, Computer science, Text mining, Artificial intelligence",0
Natural Language Interface Using Shallow Parsing.,2141829400,A definition and short history of Language Engineering,"This paper discusses the nature, history and current characteristics of Language Engineering, which is contrasted with Natural Processing Computational Linguistics, shown to have attained its own distinct identity in recent years. Major trends field are examined, including focus on large-scale practical tasks quantitative evaluation progress, willingness embrace diverse range techniques. The importance software engineering this context noted, as some sociological aspects practitioner group.","Natural language processing, Language technology, Comprehension approach, Computational linguistics, Artificial intelligence, Language industry, Computer science",0
Novel-word pronunciation within a text-to-speech system,2056303394,Text-to-speech conversion technology,"The historical and theoretical bases of contemporary high-performance text-to-speech (TTS) systems their current design are discussed. major elements TTS system described, with particular reference to vocal tract models. stages involved in the process converting text into speech parameters examined, covering normalization, word pronunciation, prosodies, phonetic rules, voice tables, hardware implementation. Examples drawn mainly from Berkeley Speech Technologies' proprietary system, T-T-S, but other approaches indicated briefly.","Speech recognition, Speech processing, Voice analysis, Computer science, Motor theory of speech perception, Speech synthesis, Pronunciation, Speech corpus, Voice activity detection, Speech production",0
Big Data Framework,1491282455,Big Data Pre-processing: A Quality Framework,"With the abundance of raw data generated from various sources, Big Data has become preeminent approach in acquiring, processing, and analyzing large amounts heterogeneous to derive valuable evidences. The size, speed, formats which is processed affect overall quality information. Therefore, Quality (QBD) an important factor ensure that maintained at all processing phases. This paper addresses QBD pre-processing phase, includes sub-processes like cleansing, integration, filtering, normalization. We propose model incorporating processes support profile selection adaptation. In addition, it tracks registers on provenance repository effect every transformation happened phase. evaluate module using EEG dataset. obtained results illustrate importance addressing early phase lifecycle since significantly save costs perform accurate analysis.","Data mining, Database, Raw data, Data virtualization, Data pre-processing, Computer science, Big data, Information quality, Data warehouse, Data modeling, Data quality",0
Natural Language Interface Using Shallow Parsing.,2092669745,INTERACTIVE SEMANTIC ANALYSIS OF TECHNICAL TEXTS,"Sentence syntax is the basis for organizing semantic relations in TANKA, project that aims to acquire knowledge from technical text. Other hallmarks include an absence of precoded domain-specific knowledge; significant use public-domain generic linguistic information sources; involvement user as judge and source expertise; learning meaning representations produced during processing. These elements shape realization TANKA project: implementing trainable text processing system propose correct interpretations user. three-level model sentence semantics, including comprehensive Case system, provides framework TANKA's representations. Text first processed by DIPETT parser, which can handle wide variety unedited sentences. The analysis module HAIKU then semi-automatically extracts patterns parse trees composes them into domain HAIKU's dictionaries main algorithm are described with aid examples traces interaction. Encouraging experimental results evaluated.","Computer science, Parsing, Semantics, Knowledge representation and reasoning, Semantic network, Natural language processing, Semantic computing, Artificial intelligence, Knowledge acquisition, Text mining, Rule-based machine translation",0
Big Data Framework,1495984639,A Parallel Distributed Weka Framework for Big Data Mining Using Spark,"Effective Big Data Mining requires scalable and efficient solutions that are also accessible to users of all levels expertise. Despite this, many current efforts provide effective knowledge extraction via large-scale tools focus more on performance than use tuning which complex problems even for experts. Weka is popular comprehensive workbench with well-known intuitive interface, nonetheless it supports only sequential single-node execution. Hence, the size datasets processing tasks can handle within its existing environment limited both by amount memory in single node This work discusses Distributed Spark, distributed framework maintains user interface. The implemented top Hadoop-related fast in-memory capabilities support iterative computations. By combining Weka's usability Spark's power, Spark provides usable prototype achieves near-linear scaling executing various real-world scale workloads 91.4% weak efficiency average up 4x faster Hadoop.","Usability, Data mining, Database, Knowledge extraction, Algorithm design, Scalability, Spark (mathematics), Big data, Computer science, User interface, Workbench",0
Big Data Framework,2008503861,Twitter Heron: Stream Processing at Scale,"Storm has long served as the main platform for real-time analytics at Twitter. However, scale of data being processed in Twitter increased, along with an increase diversity and number use cases, many limitations have become apparent. We need system that scales better, better debug-ability, performance, is easier to manage -- all while working shared cluster infrastructure. considered various alternatives meet these needs, end concluded we needed build new stream processing system. This paper presents design implementation this system, called Heron. Heron now de facto engine inside Twitter, also share our experiences from running production. In paper, provide empirical evidence demonstrating efficiency scalability","Database, Stream processing, Data processing system, Data mining, Analytics, Use case, Computer science, Heron, Data processing, Scalability",0
Big Data Framework,206771271,Big Data Generation,"Big data challenges are end-to-end problems. When handling big it usually has to be preprocessed, moved, loaded, processed, and stored many times. This led the creation of pipelines. Current benchmarks related only focus on isolated aspects this pipeline, processing, storage loading aspects. To date, there not been any benchmark presented covering aspect for systems.  In paper, we discuss necessity ETL like tasks in benchmarking propose Parallel Data Generation Framework PDGF its generation. is generic generator that was implemented at University Passau currently adopted TPC benchmarks.","Database, Benchmarking, Big data, Test data generation, Data mining, Engineering",0
Reinforcement Learning in First Person Shooter Games,2166993268,Learning to intercept opponents in first person shooter games,"One important aspect of creating game bots is adversarial motion planning: identifying how to move counter possible actions made by the adversary. In this paper, we examine problem opponent interception, in which goal bot reliably apprehend opponent. We present an algorithm for planning that couples and prediction intercept enemy on partially-occluded Unreal Tournament map. Human players can exhibit considerable variability their movement preferences do not uniformly prefer same routes. To model variability, use inverse reinforcement learning learn player-specific from sets example traces. Opponent performed using particle filter track candidate hypotheses opponent's location over multiple time horizons. Our results indicate learned has higher tracking accuracy yields better interception outcomes than other models methods.","Motion planning, Simulation, Machine learning, Adversarial system, Tournament, Particle filter, Reinforcement learning, Artificial intelligence, Adversary, Trajectory, Software agent, Computer science",0
Big Data Framework,2072021226,Strategic Alignment of Cloud-Based Architectures for Big Data,"Big Data is an increasingly significant topic for management and IT departments. In the beginning, applications were large on premise installations. Today, cloud services are used to implement applications. This can be done different ways supporting strategic enterprise goals. Therefore, we develop framework that enumerates alternatives implementing using cloud-services identify goals supported by these Alternatives. The created clarifies options initiatives cloud-computing thus improves alignment of","Data mining, Premise, Systems engineering, Enterprise architecture, Data virtualization, Competitive intelligence, Big data, Computer science, Data architecture, Strategic alignment, Cloud computing",0
Natural Language Interface Using Shallow Parsing.,1511516637,Hybrid Semantic Analysis,This article is focused on the problem of meaning recognition in written utterances. The goal to find computer algorithm capable construct description given utterance. An original system for described this paper. key idea hybrid combination expert and machine-learning approaches recognition. utilizes novel semantic parsing. based upon extended context-free grammars. grammars are automatically inferred from data.,"Artificial intelligence, Computer science, Parsing, Natural language processing, Utterance, Machine learning, L-attributed grammar, Rule-based machine translation, Context-free grammar",0
Natural Language Interface Using Shallow Parsing.,2113002560,An Integrated Archictecture for Shallow and Deep Processing,"We present an architecture for the integration of shallow and deep NLP components which is aimed at flexible combination different language technologies range practical current future applications. In particular, we describe high-level HPSG parsing system with high-performance components, ranging from named entity recognition to chunk clause recognition. The enrich representation natural text layers new XML meta-information using single shared data structure, called chart. details methods, show how information extraction checking applications realworld German benefit grammatical analysis.","Parsing, Language technology, Data structure, Natural language processing, Named-entity recognition, Architecture, XML, Artificial intelligence, Information extraction, Ranging, Computer science",0
Efficient Estimation of Word Representations in Vector Space,2250539671,Glove: Global Vectors for Word Representation,"Recent methods for learning vector space representations of words have succeeded in capturing fine-grained semantic and syntactic regularities using arithmetic, but the origin these has remained opaque. We analyze make explicit model properties needed such to emerge word vectors. The result is new global logbilinear regression that combines advantages two major families literature: matrix factorization local context window methods. Our efficiently leverages statistical information by training only on nonzero elements word-word cooccurrence matrix, rather than entire sparse or individual windows large corpus. produces with meaningful substructure, as evidenced its performance 75% recent analogy task. It also outperforms related models similarity tasks named entity recognition.","Computer science, Word2vec, Machine learning, Word embedding, Artificial intelligence, Natural language processing, Distributional semantics, Named-entity recognition, Matrix (mathematics), Sparse matrix, Vector space, Matrix decomposition",0
Efficient Estimation of Word Representations in Vector Space,2462418454,Quantifying and Reducing Stereotypes in Word Embeddings.,"Machine learning algorithms are optimized to model statistical properties of the training data. If input data reflects stereotypes and biases broader society, then output algorithm also captures these stereotypes. In this paper, we initiate study gender in {\em word embedding}, popular framework represent text As their use becomes increasingly common, applications can inadvertently amplify unwanted We show across multiple datasets that embeddings contain significant stereotypes, especially with regard professions. created novel analogy task combined it crowdsourcing systematically quantify bias given embedding. developed an efficient reduces stereotype using just handful examples while preserving useful geometric evaluated our on several metrics. While focus male/female may be applicable other types embedding biases.","Artificial intelligence, Natural language processing, Machine learning, Computer science, Embedding, Word embedding, Analogy, Stereotype, Crowdsourcing",0
Natural Language Interface Using Shallow Parsing.,2118655449,Introduction to special issue on machine learning approaches to shallow parsing,"This article introduces the problem of partial or shallow parsing (assigning syntactic structure to sentences) and explains why it is an important natural language processing (NLP) task. The complexity task makes Machine Learning attractive option in comparison handcrafting rules. On other hand, because same complexity, excellent benchmark for evaluating machine learning algorithms. We sketch origins as specific language, introduce articles accepted this special issue, representative sample current research area. Finally, future directions are suggested.","Machine learning, Shallow parsing, Natural language processing, Top-down parsing, Bottom-up parsing, Computational learning theory, Syntax, Sketch, Artificial intelligence, Computer science",0
Novel-word pronunciation within a text-to-speech system,2095214367,Novel-word pronunciation: a cross-language study,"Abstract In the case of “novel word” absent from text-to-speech system's pronouncing dictionary, traditional systems invoke context-dependent letter-to-phoneme rules to produce pronunciation. proposal in psychological literature, however, is that human readers pronounce novel words not by using explicit rules, but analogy with patterns for they already know. this paper, synthesos-by-analogy system presented which is, accordingly, also model novel-word pronunciation humans. It employs both orthographic and phonological domains applied here British (Received Pronunciation) English German. implementing system, certain detailed questions were confronted theory at present inadequately developed answer. Thus, major part work concerns impact implementational choices on performance, where defined as ability pronunciations line those given The size content lexical database any must be based are considered. better performing implementations produced useful results However, best each two languages obtained rather different implementations.","Orthography, Phonetics, Speech recognition, Non-native pronunciations of English, Natural language processing, British English, Pronunciation, Lexical database, Analogy, Received Pronunciation, Artificial intelligence, Computer science",0
Reinforcement Learning in First Person Shooter Games,2007866599,Evolution of reward functions for reinforcement learning,"The reward functions that drive reinforcement learning systems are generally derived directly from the descriptions of problems being used to solve. In some problem domains, however, alternative may allow learn more quickly or effectively. Here we describe work on use genetic programming find novel improve system performance. We briefly present core concepts our approach, motivations in developing it, and reasons believe approach has promise for production highly successful adaptive technologies. Experimental results presented analyzed full report [3].","Artificial intelligence, Machine learning, Genetic programming, Computer science, Temporal difference learning, Reinforcement learning",0
Efficient Estimation of Word Representations in Vector Space,2470673105,Hierarchical Attention Networks for Document Classification,"We propose hierarchical attention network for document classification. Our model has two distinctive characteristics: (i) it structure that mirrors the of documents; (ii) levels mechanisms applied at wordand sentence-level, enabling to attend differentially more and less important content when constructing representation. Experiments conducted on six large scale text classification tasks demonstrate proposed architecture outperform previous methods by substantial margin. Visualization layers illustrates selects qualitatively informative words sentences.","Visualization, Machine learning, Natural language processing, Artificial intelligence, Computer science, Architecture, Document classification",0
