paper,id,title,abstract,fos,score
Efficient Estimation of Word Representations in Vector Space,2141599568,Linguistic Regularities in Continuous Space Word Representations,"Continuous space language models have recently demonstrated outstanding results across variety of tasks. In this paper, we examine the vector-space word representations that are implicitly learned by input-layer weights. We find these surprisingly good at capturing syntactic and semantic regularities in language, each relationship is characterized relation-specific vector offset. This allows vector-oriented reasoning based on offsets between words. For example, male/female automatically learned, with induced representations, “King Man Woman” very close to “Queen.” demonstrate vectors capture means analogy questions (provided paper), able correctly answer almost 40% questions. using offset method SemEval-2012 Task Remarkably, outperforms best previous systems.","Word embedding, Linguistics, Word2vec, Machine learning, Speech recognition, Natural language processing, Offset (computer science), Artificial intelligence, Syntax, Language model, Analogy, Computer science",3
Reinforcement Learning in First Person Shooter Games,1487586669,Module-Based Reinforcement Learning: Experiments with a Real Robot,"The behavior of reinforcement learning (RL) algorithms is best understood in completely observable, discrete-time controlled Markov chains with finite state and action spaces. In contrast, robot-learning domains are inherently continuous both time space, moreover partially observable. Here we suggest systematic approach to solve such problems which the available qualitative quantitative knowledge used reduce complexity task. steps design process to: (i) decompose task into subtasks using at hand; (ii) local controllers knowledge, (iii) learn coordination these by means learning. It argued that enables fast, semi-automatic, but still high quality robot-control as no fine-tuning needed. was verified on non-trivial real-life robot Several RL were compared ANOVA it found model-based worked significantly better than model-free approach. learnt switching strategy performed comparably handcrafted version. Moreover, seemed exploit certain properties environment not foreseen advance, thus supporting view adaptive advantageous nonadaptive ones complex environments.","Machine learning, Decision problem, Engineering design process, Robot learning, Feature vector, Reinforcement learning, Adaptive algorithm, Artificial intelligence, Robot control, Design process, Computer science",0
Reinforcement Learning in First Person Shooter Games,2007866599,Evolution of reward functions for reinforcement learning,"The reward functions that drive reinforcement learning systems are generally derived directly from the descriptions of problems being used to solve. In some problem domains, however, alternative may allow learn more quickly or effectively. Here we describe work on use genetic programming find novel improve system performance. We briefly present core concepts our approach, motivations in developing it, and reasons believe approach has promise for production highly successful adaptive technologies. Experimental results presented analyzed full report [3].","Artificial intelligence, Machine learning, Genetic programming, Computer science, Temporal difference learning, Reinforcement learning",1
Big Data Framework,2200355770,SQL-like big data environments: Case study in clinical trial analytics,"Big Data deals with enormous volumes of complex and exponentially growing data sets from multiple sources. With rapid growth in technology, we are now able to generate immense amount almost any field imaginable including physical, biological biomedical sciences. the diversity health care industry there is an increasing need evaluate components big frameworks gauge their adaptability analytics techniques. However, key step adapting tools portability relational databases environment. Since SQL considered be de-facto language for interactive queries, this paper, performance SQL-like solutions existing databases. Our work focuses on benchmarking technologies over Hadoop based distributed file system (HDFS) Study Tabulation Model (SDTM) used clinical trial improving efficiency research trials. We use publically available (from National Institute Drug Abuse (NIDA)), which follows SDTM, as test bed measure parameters like usability, adaptability, modularity, robustness these solutions. intention demonstrate how current functionality can replicated backend high functionality, several types ad-hoc queries.","Data mining, Relational database, Analytics, Adaptability, Software portability, Database, Computer science, Database model, Big data, SQL, Data modeling",0
Reinforcement Learning in First Person Shooter Games,2020844044,Temporal difference learning for heuristic search and game playing,"Abstract Temporal difference (TD) learning is natural method of reinforcement that particularly appropriate for in heuristic search and game playing. Sutton [Machine Learning (1988) 9–44] introduced the TD( which an elegant integration supervised with TD learning. enabled Tesauro’s backgammon program to reach world championship standard. But it can be slow. was trained on 1 500 000 games. Recent work [D.F. Beal, M.C. Smith, coherence prediction decay temporal Technical Report no. 756, Department Computer Science, Queen Mary Westfield College, University London, 1998] has described significant algorithmic improvement (temporal coherence) controls rates, produces more stable final values. Results from random walk task, two complex real-world games are presented here show (TC) faster than earlier methods, produce values superior standard specified regimes, without any domain-specific information or human assistance. In chess domain, we also describe emergence classic elementary knowledge pattern weights learnt self-play, starting initialised zero.","Learning classifier system, Active learning (machine learning), Machine learning, Instance-based learning, Artificial intelligence, Unsupervised learning, Temporal difference learning, Reinforcement learning, Algorithmic learning theory, Stability (learning theory), Computer science",0
Reinforcement Learning in First Person Shooter Games,2338351427,FMRQ—A Multiagent Reinforcement Learning Algorithm for Fully Cooperative Tasks,"In this paper, we propose multiagent reinforcement learning algorithm dealing with fully cooperative tasks. The is called frequency of the maximum reward Q-learning (FMRQ). FMRQ aims to achieve one optimal Nash equilibria so as optimize performance index in systems. obtaining highest global immediate instead used signal. With each agent does not need observation other agents’ actions and only shares its state at step. We validate through case studies repeated games: four cases two-player two-action three-player two-action. It demonstrated that can converge these cases. Moreover, comparison experiments on tasks multiple states finite steps are conducted. One box-pushing distributed sensor network problem. Experimental results show proposed outperforms others higher performance.","Artificial intelligence, Mathematical optimization, Q-learning, Learning classifier system, Algorithm design, Machine learning, Reinforcement learning, Reinforcement, Algorithm, Repeated game, Nash equilibrium, Multi-agent system, Computer science",0
Efficient Estimation of Word Representations in Vector Space,2120615054,A Convolutional Neural Network for Modelling Sentences,"The ability to accurately represent sentences is central language understanding. We describe convolutional architecture dubbed the Dynamic Convolutional Neural Network (DCNN) that we adopt for semantic modelling of sentences. network uses k-Max Pooling, global pooling operation over linear sequences. handles input varying length and induces feature graph sentence capable explicitly capturing short long-range relations. does not rely on parse tree easily applicable any language. test DCNN in four experiments: small scale binary multi-class sentiment prediction, six-way question classification Twitter prediction by distant supervision. achieves excellent performance first three tasks greater than 25% error reduction last task with respect strongest baseline.","Machine learning, Binary number, Natural language processing, Pooling, Architecture, Artificial intelligence, Convolutional neural network, Parse tree, Computer science, Sentence",1
Reinforcement Learning in First Person Shooter Games,2104346096,Creating a multi-purpose first person shooter bot with reinforcement learning,"Reinforcement learning is well suited to first person shooter bot artificial intelligence as it has the potential create diverse behaviors without need implicitly code them. This paper compares three different reinforcement approaches with universal behavior set. Results show that using hierarchical or rule based approach, combined learning, promising solution creating bots offer rich and","Simulation, Machine learning, Rule-based system, Reinforcement learning, Artificial intelligence, Computer science",3
Reinforcement Learning in First Person Shooter Games,1481907638,RETALIATE: learning winning policies in first-person shooter games,"In this paper we present RETALIATE, an online reinforcement learning algorithm for developing winning policies in team first-person shooter games. RETALIATE has three crucial characteristics: (1) individual BOT behavior is fixed although not known advance, therefore BOTS work as ""plugins"", (2) models the problem of tactics through simple state formulation, (3) discount rates commonly used Q-Iearning are used. As result these characteristics, application Q-learning results rapid exploration towards policy against opponent team. our empirical evaluation demonstrate that adapts well when environment changes.","Artificial intelligence, Computer science, Machine learning, Plug-in, Reinforcement learning, Adversary, Simulation",3
Novel-word pronunciation within a text-to-speech system,1531310711,Arabic speech synthesis using a concatenation of polyphones: the results,"This research paper is within the project entitled ”Oreillodule” real time embedded system of speech recognition, translation and synthesis The core our interest in this work presentation hybrid Arabic more precisely linguistic acoustic treatment Indeed, we will focus on grapheme-phoneme transcription, an integral stage for development with acceptable quality Then, present some rules used realization phonetic These are stocked data base browsed several times during transcription We also module syllabication units variable sizes (phoneme, diphone triphone), as well corresponding polyphones dictionary list stages establishment difficulties faced its Finally, results statistical survey understanding, achieved corpus.","Speech recognition, Diphone, Natural language, Phonetics, Real-time operating system, Triphone, Concatenation, Hybrid system, Speech synthesis, Computer science",0
Novel-word pronunciation within a text-to-speech system,2407901989,VOXMEX Speech Database: Design of a Phonetically Balanced Corpus.,"We present method for designing phonetically balanced speech corpus. In this method, we used phonotactic approach to design the phonetic content of VOXMEX: corpus Mexican Spanish. The transcriptions VOXMEX contain complete coverage phonemes and allophones Spanish in every possible context. This is designed doing research acoustic modeling recognition area. are recording readings text obtain data VOXMEX. Our main goal project construct phonologically representative","Artificial intelligence, Natural language processing, Speech recognition, Computer science, Mexican Spanish, Speech corpus, Transcription (linguistics), Phonotactics, Text corpus, Database design",0
Novel-word pronunciation within a text-to-speech system,36724106,Rule-based grapheme-to-phoneme conversion of names.,,"Artificial intelligence, Grapheme, Speech recognition, Pattern recognition, Rule-based system, Computer science",0
Novel-word pronunciation within a text-to-speech system,2073076143,Using phonologically-constrained morphological analysis in continuous speech recognition,"This article describes investigations into the use of phonologically-constrained morphological analysis (PCMA) in language modelling for continuous speech recognition. PCMA provides means text as sequence morphemes way that retains compatibility with linear concatenative model pronunciation used conventional decoders. Experiments were performed English exploiting 100-million-word British National Corpus source material. We show leads to smaller but more generative lexicons, and it does not weaken quality acoustic decoding measured terms recognition lattices. For trigram models, perplexity figures are poorer over words, might be expected given reduction sentence span. However results small improvements accuracy under some conditions, particularly when morph lattices decoded word-trigram models. explore capabilities across vocabulary size, training post-processing strategy. The best 16% relative word error rate.","Perplexity, Speech processing, Speech recognition, Computer science, Word error rate, Morpheme, Vocabulary, Language model, Pronunciation, Trigram",0
Natural Language Interface Using Shallow Parsing.,1563356223,Natural Language Information Formatting: The Automatic Conversion of Texts to a Structured Data Base,"Publisher Summary The field of computerized language processing encompasses wide range goals and methodologies, ranging from such theoretical objectives as the modeling human linguistic behavior acquisition to machine translation natural systems for man–machine communication, speech recognition. What unites these varied endeavors is need come grips with special features communication system. chapter approaches problems viewpoint information science, applications envisioned primarily in science retrieval data base management. also attempts provide general solution following problem: Given collection documents on particular subject written English or another language, how can computer programs arrange contained so that it be accessed different points view variety informational tasks. This assumes there are underlying common texts made explicit by formal procedures. For management this problem would extend bases which functions have already been automated operate. discusses principles methods analysis, formatting. If indeed possible obtain structured textual material, then potential new large. In section few sketched reference they realized computer-formatted medical records.","Question answering, Computer science, Natural language, Universal Networking Language, Language identification, Natural language programming, Natural language processing, Data mining, Information extraction, Data control language, Information science, Artificial intelligence",0
Natural Language Interface Using Shallow Parsing.,1495594963,Upper Modeling: organizing knowledge for natural language processing,"Abstract general, reusable computational resource has been developed within the Penman text generation project for organizing domain knowledge appropriately linguistic realization. This resource, called upper model, provides domain- and task-independent classification system' that supports sophisticated natural language processing while significantly simplifying interface between domain-specific general resources. paper presents results of our experiences in designing using model variety applications over past years. In particular, we present conclusions concerning appropriate organization an its independence, types interrelationships need to be supported grammar semantics.","Domain knowledge, Artificial intelligence, Semantics, Natural language processing, Computer science, Natural language, Computational resource, Text processing, Knowledge-based systems, Computational linguistics, Rule-based machine translation",0
Natural Language Interface Using Shallow Parsing.,2100448187,Knowledge representation for syntactic/semantic processing,"This paper describes the RUS framework for natural language processing, in which parser incorporating substantial ATN grammar English interacts with semantic interpreter to simultaneously parse and interpret input. The structure of that interaction is discussed, including roles played by syntactic knowledge. Several implementations are currently use, sharing same grammar, but differing form their component. One these, PSI-KLONE system, based on general object-centered knowledge representation called KL-ONE. operation described, its use KL-ONE support inference process ""incremental description refinement."" last section discusses several important criteria systems be used processing.","Machine learning, MultiNet, Knowledge representation and reasoning, Semantic grid, Semantic role labeling, Natural language processing, Syntactic predicate, Semantic compression, Semantic computing, Semantic similarity, Computer science, Artificial intelligence",0
Big Data Framework,279457913,From TPC-C to Big Data Benchmarks: A Functional Workload Model,"Big data systems help organizations store, manipulate, and derive value from vast amounts of data. Relational database MapReduce are the two most prominent technologies for such systems. Organizations use them to perform complex analysis on diverse unconventional types with fast growing volumes. As more big deployed, industry faces challenge develop representative benchmarks that can evaluate capabilities competing implementations. In this position paper, we argue building future using what call ""functional workload model"". This concept draws combined experiences standard benchmarks, exemplified by TPC-C. The functional model describes goals system must achieve, access patterns, load variations over time, computation required achieve goals. Abstracting models empirical studies deployments represents first step towards truly benchmarks.","Relational database, Data type, Application domain, Implementation, Database, Position paper, Data access, Big data, Workload, Data mining, Computer science",0
Big Data Framework,2002472616,ARIA: automatic resource inference and allocation for mapreduce environments,"MapReduce and Hadoop represent an economically compelling alternative for efficient large scale data processing advanced analytics in the enterprise. key challenge shared clusters is ability to automatically tailor control resource allocations different applications achieving their performance goals. Currently, there no job scheduler environments that given completion deadline, could allocate appropriate amount of resources so it meets required Service Level Objective (SLO). In this work, we propose framework, called ARIA, address problem. It comprises three inter-related components. First, production routinely executed on new dataset, build profile compactly summarizes critical characteristics underlying application during map reduce stages. Second, design model (with known profile) its SLO (soft deadline), estimates within deadline. Finally, implement novel SLO-based determines ordering meeting deadlines. We validate our approach using set realistic applications. The effectively jobs' SLOs until demands exceed cluster resources. results extensive simulation study are validated through detailed experiments 66-node cluster.","Real-time computing, Service level objective, Service level, Inference, Scheduling (computing), Analytics, Distributed computing, Job scheduler, Computer science, Job queue, Data mining, Resource allocation",0
Natural Language Interface Using Shallow Parsing.,2510018066,Identifying domain elements from textual specifications,"Analysis modeling refers to the task of identifying domain objects, their attributes and operations, relationships between these objects from software requirements specifications which are usually written in some natural language. There have been few efforts automate this task, but they seem be largely constrained by language related issues as well lack systematic transformation process. In paper, we propose systematic, automated approach first interprets specification sentences based on Hornby's verb patterns, then uses semantic words sentences, obtained Type Dependencies using Stanford NL Parser, identify elements them. With help controlled experiment, show that analysis class diagrams generated proposed far more correct, complete less redundant than those exiting approaches.","Semantics, Natural language, Verb, Parsing, Computer science, Model transformation, Natural language processing, Software requirements, Class diagram, Unified Modeling Language, Artificial intelligence",0
Efficient Estimation of Word Representations in Vector Space,2250539671,Glove: Global Vectors for Word Representation,"Recent methods for learning vector space representations of words have succeeded in capturing fine-grained semantic and syntactic regularities using arithmetic, but the origin these has remained opaque. We analyze make explicit model properties needed such to emerge word vectors. The result is new global logbilinear regression that combines advantages two major families literature: matrix factorization local context window methods. Our efficiently leverages statistical information by training only on nonzero elements word-word cooccurrence matrix, rather than entire sparse or individual windows large corpus. produces with meaningful substructure, as evidenced its performance 75% recent analogy task. It also outperforms related models similarity tasks named entity recognition.","Computer science, Word2vec, Machine learning, Word embedding, Artificial intelligence, Natural language processing, Distributional semantics, Named-entity recognition, Matrix (mathematics), Sparse matrix, Vector space, Matrix decomposition",3
Novel-word pronunciation within a text-to-speech system,2162011834,Template constrained posterior for verifying phone transcriptions,"new statistical confidence measure, template constrained posterior (TCP), is proposed for verifying phone transcriptions of speech databases. Different from generalized probability (GPP), TCP computed by considering string hypotheses that bear focused unit, e.g., with partially matched left and right contexts. Parameters used include context window length, partial matching ratio, KLD threshold selecting confusable phones, verification threshold. They are determined minimizing errors in development set. Evaluated on test set which contains 52.1% sentence 0.62% errors, achieves 92% 88% error hit rate rejected sentences, when the corresponding acceptance ratios at 90% 80%, respectively.","Speech recognition, Posterior probability, Transcription (linguistics), Phone, Pattern recognition, Speech synthesis, Hit rate, Artificial intelligence, Sentence, Computer science, Test set",0
Novel-word pronunciation within a text-to-speech system,2396116703,The EURONOUNCE corpus of non-native Polish for ASR-based pronunciation tutoring system.,"This paper gives detailed information on the design of speech corpus for purpose developing an ASR-based pronunciation tutoring system. In first place, assumptions structure are presented. Then collection text material, recordings and procedure annotation resulting described. end, preliminary results analysis errors discussed. They provide which is important ASR training testing one hand, automatic error detection other hand.","Speech recognition, Computer science, Artificial intelligence, Error detection and correction, Natural language processing, Speech corpus, Pronunciation, Annotation",0
Efficient Estimation of Word Representations in Vector Space,2153579005,Distributed Representations of Words and Phrases and their Compositionality,"The recently introduced continuous Skip-gram model is an efficient method for learning high-quality distributed vector representations that capture large number of precise syntactic and semantic word relationships. In this paper we present several extensions improve both the quality vectors training speed. By subsampling frequent words obtain significant speedup also learn more regular representations. We describe simple alternative to hierarchical softmax called negative sampling.  An inherent limitation their indifference order inability represent idiomatic phrases. For example, meanings ""Canada"" ""Air"" cannot be easily combined ""Air Canada"". Motivated by finding phrases in text, show good millions possible.","Feature engineering, Machine learning, Distributional semantics, Artificial intelligence, Word2vec, Word embedding, Natural language processing, Principle of compositionality, Computer science, Word order, Syntax, Softmax function",3
Big Data Framework,2151164751,A user-friendly tool to transform large scale administrative data into wide table format using a mapreduce program with a pig latin based script,"Background Secondary use of large scale administrative data is increasingly popular in health services and clinical research, where user-friendly tool for management great demand. MapReduce technology such as Hadoop promising this purpose, though its has been limited by the lack functions transforming into wide table format, each subject represented one row, research. Since original specification Pig provides very few column field management, we have developed novel system called GroupFilterFormat to handle definition content based on Latin script. We also developed, an open-source project, several user-defined transform format using deal with processing that considers date conditions.","Data mining, User Friendly, Information management, Database, Benchmarking, Health informatics, Data management, Software design, User-defined function, Latin script, Computer science",0
Reinforcement Learning in First Person Shooter Games,1597980240,Learning Cooperative Behaviours in Multiagent Reinforcement Learning,"We investigated the coordination among agents in goal finding task partially observable environment. In our problem formulation, was to locate 2D space. However, no information related given unless they had formed swarm. Further more, must be located by swarm of agents, not single agent. this study, cooperative behaviours were learned using proposed context dependent multiagent SARSA algorithms (CDM-SARSA). essence, instead tracking actions from all Q-table i.e., Q(s,a), CDM-SARSA tracked only agent and resulting (s,a ,c). This approach reduced size state space considerably. Tracking agents' impractical since increased exponentially with every new added into system. opinion, abstracted unnecessary details logical solution for reinforcement learning task. The illustrated different number grid sizes. empirical results confirmed that could learn successfully.","Swarm behaviour, Grid, Machine learning, Artificial intelligence, Reinforcement learning, Observable, State space, Computer science",0
Novel-word pronunciation within a text-to-speech system,2407533274,iCALL corpus: Mandarin Chinese spoken by non-native speakers of European descent.,,"Mandarin Chinese, Speech recognition, Computer science",0
Novel-word pronunciation within a text-to-speech system,1529238635,On the development of a name pronunciation system.,,"Speech recognition, Pronunciation, Computer science",3
Efficient Estimation of Word Representations in Vector Space,2131744502,Distributed Representations of Sentences and Documents,"Many machine learning algorithms require the input to be represented as fixed-length feature vector. When it comes texts, one of most common features is bag-of-words. Despite their popularity, bag-of-words have two major weaknesses: they lose ordering words and also ignore semantics words. For example, ""powerful,"" ""strong"" ""Paris"" are equally distant. In this paper, we propose Paragraph Vector, an unsupervised algorithm that learns representations from variable-length pieces such sentences, paragraphs, documents. Our represents each document by dense vector which trained predict in document. Its construction gives our potential overcome weaknesses models. Empirical results show Vectors outperforms models well other techniques for text representations. Finally, achieve new state-of-the-art on several classification sentiment analysis tasks.","Word embedding, Natural language processing, Machine learning, Topic model, Word2vec, Feature vector, Semantics, Sentiment analysis, Pattern recognition, Popularity, Paragraph, Artificial intelligence, Computer science",3
Efficient Estimation of Word Representations in Vector Space,2619099103,Exploring convolutional neural networks for drug–drug interaction extraction,,"Computer science, Convolutional neural network, Machine learning, Artificial intelligence",0
Novel-word pronunciation within a text-to-speech system,2143729993,Probabilistic effects on French [t] duration,"The present study shows that [t] consonants are affected by probabilistic factors in syllable-timed language as French, and spontaneous well journalistic speech. Study showed word bigram frequency effect but its exact nature depended on the corpus which measures were based. investigated speech an of joint test following word. We discuss possibility these effects due to speaker’s planning upcoming words, adaptation listener’s needs. Index Terms: lexical probability, prosody, research, acoustic reduction, rate.","Speech recognition, Bigram, Probabilistic logic, Prosody, Pattern recognition, Artificial intelligence, Computer science",0
Big Data Framework,1974695870,Demonstration of the Myria big data management service,"In this demonstration, we will showcase Myria, our novel cloud service for big data management and analytics designed to improve productivity. Myria's goal is users simply upload their the system help them be self-sufficient science experts on -- self-serve analytics. Using web browser, Myria can data, author efficient queries process explore debug correctness performance issues. are executed scalable, parallel cluster that uses both state-of-the-art methods distributed query processing. Our interactive demonstration guide visitors through an exploration of several key features by interfacing with live analyze datasets over web.","Data mining, Database, myria-, Distributed database, Upload, Analytics, Big data, Computer science, Data management, Scalability, Cloud computing",0
Natural Language Interface Using Shallow Parsing.,2096143329,A generative grammar approach for the morphologic and morphosyntactic analysis of Italian,"morphologic and morphosyntactic analyzer for the Italian language has been implemented in VM/Prolog |3| at IBM Rome Scientific Center as part of project on text understanding.Aim this is development prototype which analyzes short narrative texts (press agency news) gives formal representation their ""meaning"" set first order logic expressions. Question answering features are also provided.The processes every word by means context free grammar, to obtain its syntactic characteristics.It performs analysis recognize fixed variable sequences words such idioms, date expressions, compound tenses verbs comparative superlative forms adjectives.The lexicon stored relational data base under control SQL/DS [2], while endings grammar workspace Prolog facts.A friendly interface written GDDM [1] allows user introduce line missing lemmata, directly update dictionary.","Natural language processing, Generative grammar, Artificial intelligence, Computer science, Lexicon, Emergent grammar, Programming language, Syntax, SQL, Grammar, Superlative, Context-free grammar",0
Novel-word pronunciation within a text-to-speech system,7272958,The UPC Text-to-Speech System for Spanish and Catalan,"This paper summarizes the text-to-speech system that has been developed in Speech Group of Universitat Politecnica de Catalunya (UPC). The is composed core and different interfaces so it compatible for research, telephone applications (either CTI boards or standard ISDN PC cards supporting CAPI), Windows using Microsoft SAPI. reviews making emphasis parts which are language dependent allow reading bilingual text (Spanish and Catalan). also presents new approaches prosodic modeling (segmental duration modeling) generation database speech segments, have introduced last year.","Speech recognition, Integrated Services Digital Network, Natural language processing, Speech segmentation, Proper noun, Computer science, Catalan, PC Card, Speech synthesis, Artificial intelligence",0
Novel-word pronunciation within a text-to-speech system,144304119,Recent improvements in voicemail transcription.,,"Voicemail, Word error rate, Speech recognition, Pattern recognition, Natural language processing, Computer science, Artificial intelligence, Transcription (biology)",0
