query,id,title,abstract,fos,score
converting word to speech,2186283982,Jointly Learning to Parse and Perceive: Connecting Natural Language to the Physical World,"This paper introduces Logical Semantics with Perception (LSP), model for grounded language acquisition that learns to map natural statements their referents in physical environment. For example, given an image, LSP can the statement “blue mug on table” set of image segments showing blue mugs tables. representations both categorical (“blue,” “mug”) and relational (“on”) language, also compose these produce entire statements. We further introduce weakly supervised training procedure estimates LSP’s parameters using annotated statements, without individual words or parse structure statement. perform experiments two applications: scene understanding geographical question answering. find outperforms existing, less expressive models cannot represent language. is competitive fully while requiring significantly annotation effort.","Question answering, Categorical variable, Machine learning, Language acquisition, Natural language, Annotation, Natural language processing, Computer science, Artificial intelligence, Parsing, Perception",0
Big data,2296465099,The Big Data - Same Humans Problem.,,"Data mining, Computer science, Big data",0
efficient estimation of word representations in vector space,2140934966,A nonparametric contextual classification based on Markov random fields,"In this paper nonparametric contextual classification using both spectral and spatial information will be proposed for hyperspectral image classification. Essentially, among the classification, is acquired on basis of Markov random field (MRF) then joined with density estimation. Two MRF-based classifications based kNN Parzen estimation introduced. We expect combination could strengthen capability classifying pixels different class labels similar values dealing data that has no clear numerical interpretation.","Random field, Nonparametric statistics, Markov random field, Density estimation, Contextual image classification, k-nearest neighbors algorithm, Machine learning, Markov chain, Mathematics, Artificial intelligence, Markov process, Pattern recognition",0
efficient estimation of word representations in vector space,2162456950,Efficient Non-parametric Estimation of Multiple Embeddings per Word in Vector Space,"There is rising interest in vector-space word embeddings and their use NLP, especially given recent methods for fast estimation at very large scale. Nearly all this work, however, assumes single vector per type—ignoring polysemy thus jeopardizing usefulness downstream tasks. We present an extension to the Skip-gram model that efficiently learns multiple type. It differs from related work by jointly performing sense discrimination embedding learning, non-parametrically estimating number of senses type, its efficiency scalability. new state-of-the-art results similarity context task demonstrate scalability training with one machine on corpus nearly billion tokens less than hours.","Machine learning, Natural language processing, Artificial intelligence, Nonparametric statistics, Vector space, Polysemy, Embedding, Computer science, Scalability",0
Big data,2500526976,Dynamical updating fuzzy rough approximations for hybrid data under the variation of attribute values,"With the development of Internet Thingsź(IoT), more and hybrid data is being collected by information systems, which are known as Hybrid Information Systemsź(HIS). Based on new distance, novel Gaussian kernel Fuzzy Rough Setsź(FRS) for HIS were constructed in our previous study. In real-world applications, with deepening cognition improvements technology, attribute values an system often evolve over time; particular, there three cases: when missing imputed, error corrected, coarsened or refined. This has posed challenges to developing efficient analysis algorithms. this paper, changing mechanisms fuzzy equivalence relations FRS analyzed. approaches incrementally updating approximations presented. Moreover, two corresponding incremental algorithms developed. Finally, extensive experiments eight sets from University California, Irvine (UCI) artificial set show that can effectively improve performance not only significantly shorten computational time, but also increase approximation classification accuracies.","Mathematics, Machine learning, Artificial intelligence, Equivalence relation, Fuzzy logic, Gaussian function, Missing data, Data set, Information system, Big data",0
converting word to speech,2013682896,Speech enhancement with sparse coding in learned dictionaries,"The enhancement of speech degraded by non-stationary interferers is highly relevant and difficult task many signal processing applications. We present monaural method based on sparse coding noisy signals in composite dictionary, consisting the concatenation interferer both being possibly over-complete. dictionary learned off-line training corpus, while an environment specific on-line during pauses. Our approach optimizes trade-off between source distortion confusion, thus achieves significant improvements objective quality measures like cepstral distance, speaker dependent independent case, several real-world environments at low signal-to-noise ratios. outperforms state-of-the-art methods multi-band spectral subtraction approaches vector quantization.","Signal processing, Speech recognition, Speech processing, Speech enhancement, K-SVD, Vector quantization, Artificial intelligence, Speech coding, Source separation, Computer science, Voice activity detection, Pattern recognition",0
reinforcement learning in video game,2051269406,Reinforcement Learning Applied to a Differential Game,"An application of reinforcement learning to linear-quadratic, differential game is presented. The system uses recently developed algorithm, the residual-gradient form advantage updating. Markov decision process with continuous time, states, and actions, linear dynamics, quadratic cost function. consists two players, missile plane; pursues plane evades missile. Although scenario was chosen test bed, approach presented here equally applicable biologically based systems, such as predator pursuing prey. algorithm for optimal control modified games find minimax point rather than maximum. Simulation results are compared analytical solution, demonstrating that simulated converges answer. performance both non...","Differential game, Artificial intelligence, Machine learning, Reinforcement learning, Computer science, Markov decision process, Optimal control, Dynamic programming, Mathematical optimization, Missile, Minimax",0
natural language interface,2061875682,NALIGE: a user interface management system for the development of natural language interfaces,"Abstract One of the major problems encountered by average computer user is syntactic inflexibility and linguistic opacity existing operating system command languages. These characteristics, which are manifested in terms rigid syntactical rules cryptic/obtuse acronyms, have been shown to result significant loss productivity among novice intermediate users. This paper investigates one approach addressing this problem, namely introduction natural language interfaces placed on top standard interpreters. Specifically, it presents interface management accepts set well-formed specifications produces an autonomous exhibiting prescribed behavior. describe knowledge be encapsulated target lexical, syntactic, semantic, pragmatic elements application domain. Additionally, discusses systematic methodology used identifying given consists formal techniques, computational tools, three knowledge-base specification languages employed designer during all stages development subsequent maintenance specific interface.","Natural language, Human–computer interaction, Command language, Natural language processing, Natural language user interface, Application domain, Natural language programming, Interface description language, User interface, Artificial intelligence, Computer science, Interface metaphor",0
reinforcement learning in video game,200699157,Learning Strategies in Games by Anticipation,"Game Theory is mainly seen as mathematical theory which tries to replace pure chance and intuitive behavior in competitive situation by calculations. This has been widely used define computer programs. The aim of the research described here design an artificial system able play efficiently certain games cannot be applied satisfactorily (such with incomplete or imperfect information). When it find winning solution, through process anticipation. done building refining model adversary's real time during game. architecture proposed relies on two genetic classifiers, one models adversaries' behaviors while other uses thus built order play. system's strategy learning ability tested simple strategic results show advantages this approach over human traditional adversaries (simple probabilistic adaptive probabilistic) illustrate how learns strategies its adversaries.","Artificial intelligence, Machine learning, Anticipation, Game theory, Probabilistic logic, Computer science, Perfect information, Adversary, Architecture, Experiential learning, Mathematical theory",0
converting word to speech,2767224889,Learning Word Embeddings from Speech.,"In this paper, we propose novel deep neural network architecture, Sequence-to-Sequence Audio2Vec, for unsupervised learning of fixed-length vector representations audio segments excised from speech corpus, where the vectors contain semantic information pertaining to segments, and are close other in embedding space if their corresponding semantically similar. The design proposed model is based on RNN Encoder-Decoder framework, borrows methodology continuous skip-grams training. learned evaluated 13 widely used word similarity benchmarks, achieved competitive results that GloVe. biggest advantage its capability extracting taken directly raw speech, without relying any modalities such as text or images, which challenging expensive collect annotate.","Natural language processing, Machine learning, Artificial neural network, Artificial intelligence, Embedding, Modalities, Architecture, Unsupervised learning, Speech corpus, Computer science",0
natural language interface,2011135276,"Sublanguage, register and natural language interfaces","Abstract The paper is commentary on Karlgren (1993) which proposed the term ‘register’ as substitute for ‘sublanguage’ in relation to study of natural language interfaces. author proposes that this substitution inappropriate several reasons. First, has many meanings and cannot be restricted mathematical definition proposes. Second, terms will always loosely defined because their intrinsic nature. Third, register not well-defined sociolinguistic suggests. Finally offers an alternative description what is.","Natural language, Computer science, Natural language processing, Sublanguage, Natural language user interface, Programming language, Artificial intelligence",0
converting word to speech,2024218073,A speech synthesizer for Persian text using a neural network with a smooth ergodic HMM,"The feasibility of converting text into speech using an inexpensive computer with minimal memory is great interest. Speech synthesizers have been developed for many popular languages (e.g., English, Chinese, Spanish, French, etc.), but designing synthesizer language largely dependant on the structure. In this article, we develop Persian that includes innovative analyzer module. synthesizer, segmented words and after preprocessing, neural network passed over each word. addition to new model (SEHMM) used as postprocessor compensate errors generated by network. performance proposed verified intelligibility synthetic assessed via listening tests.","Time delay neural network, Active listening, Natural language processing, Speech recognition, Intelligibility (communication), Artificial intelligence, Spectrum analyzer, Artificial neural network, Speech synthesis, Preprocessor, Machine learning, Computer science, Hidden Markov model",0
reinforcement learning in video game,2191395120,An object-oriented approach to reinforcement learning in an action game,"In this work, we look at the challenge of learning in an action game, Infinite Mario. Learning to play game can be divided into two distinct but related problems, object-related behavior and selecting primitive action. We propose framework that allows for use reinforcement both these problems. present promising results some instances identify problems might affect learning.","Computer science, Machine learning, Sequential game, Action learning, Multi-task learning, Robot learning, Reinforcement learning, Object-oriented programming, Artificial intelligence",0
converting word to speech,316834394,A technique to automatically assign parts-of-speech to words taking into account word-ending information through a probabilistic model.,,"Part of speech, Speech recognition, Pattern recognition, Computer science, Machine learning, Probabilistic relevance model, Divergence-from-randomness model, Artificial intelligence, Statistical model",0
reinforcement learning in video game,2590481545,Position-based reinforcement learning biased MCTS for General Video Game Playing,"This paper proposes an application of reinforcement learning and position-based features in rollout bias training Monte-Carlo Tree Search (MCTS) for General Video Game Playing (GVGP). As improvement on Knowledge-based Fast-Evo MCTS proposed by Perez et al., the method is designated both GVG-AI Competition mechanism original method. The performance evaluated empirically, using all games from six sets available Framework, achieves better scores than five other existing MCTS-based methods overall.","Simulation, Artificial intelligence, Machine learning, Knowledge-based systems, Reinforcement learning, Feature extraction, General video game playing, Computer science, Euclidean distance",0
Big data,2050778927,Big Data Design,"It is widely accepted today that Relational databases are not appropriate in highly distributed shared-nothing architectures of commodity hardware, need to handle poorly structured heterogeneous data. This has brought the blooming NoSQL systems with purpose mitigating such problem, specially presence analytical workloads. Thus, change data model and new needs beyond OLAP take us rethink methods models design manage these newborn repositories. In this paper, we will analyze state art future research directions.","Data mining, Database, NoSQL, Online analytical processing, Relational database, Commodity, Data model, Big data, Computer science, Database design",0
efficient estimation of word representations in vector space,2097732278,Learning word embeddings efficiently with noise-contrastive estimation,"Continuous-valued word embeddings learned by neural language models have recently been shown to capture semantic and syntactic information about words very well, setting performance records on several similarity tasks. The best results are obtained learning high-dimensional from large quantities of data, which makes scalability the training method critical factor.  We propose simple scalable new approach based log-bilinear with noise-contrastive estimation. Our is simpler, faster, produces better than current state-of-the-art method. We achieve comparable ones reported, were cluster, using four times less data more an order magnitude computing time. also investigate model types find that simpler perform at least as well those complex ones.","Order of magnitude, Machine learning, Artificial intelligence, Computer science, Language model, Syntax, Scalability",0
reinforcement learning in video game,2522489477,Playing FPS Games with Deep Reinforcement Learning.,"Advances in deep reinforcement learning have allowed autonomous agents to perform well on Atari games, often outperforming humans, using only raw pixels make their decisions. However, most of these games take place 2D environments that are fully observable the agent. In this paper, we present first architecture tackle 3D first-person shooter involve partially states. Typically, methods utilize visual input for training. We method augment models exploit game feature information such as presence enemies or items, during training phase. Our model is trained simultaneously learn features along with minimizing Q-learning objective, which shown dramatically improve speed and performance our also modularized allow different be independently phases game. show proposed substantially outperforms built-in AI humans deathmatch scenarios.","Artificial intelligence, Autonomous agent, Machine learning, Exploit, Reinforcement learning, Computer science, Architecture, Observable, Simulation",0
Big data,2013976210,On the Discovery of Evolving Truth,"In the era of big data, information regarding same objects can be collected from increasingly more sources. Unfortunately, there usually exist conflicts among coming different To tackle this challenge, truth discovery, i.e., to integrate multi-source noisy by estimating reliability each source, has emerged as hot topic. many real world applications, however, may come sequentially, and consequence, well sources dynamically evolving. Existing discovery methods, unfortunately, cannot handle such scenarios. address problem, we investigate temporal relations both object truths source reliability, propose an incremental framework that update weights upon arrival new data. Theoretical analysis is provided show proposed method guaranteed converge at fast rate. The experiments on three applications set synthetic data demonstrate advantages over state-of-the-art methods.","Artificial intelligence, Data mining, Machine learning, Computer science, Synthetic data, Big data, Dynamic data, Text mining",0
Big data,2001703222,Geospatial Big Data,"Geospatial big data refers to spatial sets exceeding capacity of current computing systems. significant portion is actually geospatial data, and the size such growing rapidly at least by 20% every year. In this paper, we explore challenges opportunities which brought us. Several case studies are introduced show importance benefits analytics including fuel time saving, revenue increase, urban planning, health care. Then, introduce new emerging platforms for sharing collected tracking human mobility via mobile devices. The researchers in academia industry have spent lot efforts improve value as well take advantage its value. Along same line, present our research activities toward especially on interactive real-time or dynamic data.","Mobile device, Data science, Geospatial analysis, Data mining, Computer science, Analytics, Spatial analysis, Dynamic data, Big data, Complex event processing, Urban planning",0
reinforcement learning in video game,2256420211,Reinforcement learning with parameterized actions,"We introduce model-free algorithm for learning in Markov decision processes with parameterized actions—discrete actions continuous parameters. At each step the agent must select both which action to use and parameters that action. Q-PAMDP these domains, show it converges local optimum, compare direct policy search goal-scoring Platform domains.","Local optimum, Machine learning, Q-learning, Artificial intelligence, Computer science, Reinforcement learning, Markov decision process, Parameterized complexity",0
natural language interface,144406747,Generation in a natural language interface,"The PHRED (PHR asal English Diction) generator produces the natural language output of Berkeley's UNIX Consultant system (UC). shares its knowledge base with analyzer PHRAN (PHRasal ANalyser). parser and generator, together component UC's user interface, draw from database pattern-concept pairs where basic unit linguistic patterns is phrase. Both are designed to provide multilingual capabilities, facilitate paraphrases, be adaptable individual user's vocabulary knowledge. affords extensibility,simplicity, processing speed while performing task producing utterances conceptual representations using large base. This paper describes implementation phrasal discusses role generation in user-friendly interface.","Parsing, Universal Networking Language, Question answering, Natural language, Natural language programming, Natural language processing, Computer science, Interface description language, Vocabulary, Programming language, Natural language user interface, Artificial intelligence",0
reinforcement learning in video game,2132484823,Feature reinforcement learning in practice,"Following recent surge in using history-based methods for resolving perceptual aliasing reinforcement learning, we introduce an algorithm based on the feature learning framework called ΦMDP [13]. To create practical devise stochastic search procedure class of context trees parallel tempering and specialized proposal distribution. We provide first empirical evaluation ΦMDP. Our proposed achieves superior performance to classical U-tree [20] active-LZ [6], is competitive with MC-AIXI-CTW [29] that maintains bayesian mixture over all up chosen depth. are encouraged by our ability compete this sophisticated method simply picks one single model, uses Q-learning corresponding MDP. simpler consumes less time memory. These results show promise future work attacking more complex larger problems.","Q-learning, Parallel tempering, Reinforcement learning, Reinforcement, Markov decision process, Population-based incremental learning, Minimum description length, Machine learning, Distributed computing, Bayesian probability, Artificial intelligence, Computer science",0
reinforcement learning in video game,1542941925,Markov games as a framework for multi-agent reinforcement learning,"In the Markov decision process (MDP) formalization of reinforcement learning, single adaptive agent interacts with an environment defined by probabilistic transition function. this solipsis-tic view, secondary agents can only be part and are therefore fixed in their behavior. The framework games allows us to widen view include multiple interacting or competing goals. This paper considers step direction which exactly two diametrically opposed goals share environment. It describes Q-learning-like algorithm for finding optimal policies demonstrates its application simple two-player game policy is probabilistic.","Machine learning, Q-learning, Reinforcement learning, Artificial intelligence, Markov decision process, Probabilistic logic, Pattern recognition, Partially observable Markov decision process, Computer science, Markov chain",0
converting word to speech,1603049792,Feature based digital video indexing,Indexing video data is essential for providing content based access. has typically been viewed either from manual annotation perspective or an image sequence processing perspective. This work proposes methodology designing indexing schemes which use low level machine derivable indices to map into the set of application specific desired indices. The procedure uses and requirements analysis arrive at mapping created on domain constraints. efficacy measure presented. Experimental results using motion features are,"Video processing, Microsoft Video 1, Video compression picture types, Information retrieval, Smacker video, Video post-processing, Image processing, Video tracking, Video quality, Computer vision, Computer science, Artificial intelligence",0
reinforcement learning in video game,2154480527,Stronger CDA strategies through empirical game-theoretic analysis and reinforcement learning,"We present general methodology to automate the search for equilibrium strategies in games derived from computational experimentation. Our approach interleaves empirical game-theoretic analysis with reinforcement learning. apply this classic Continuous Double Auction game, conducting most comprehensive CDA strategic study published date. Empirical game confirms prior findings about relative performance of known strategies. Reinforcement learning derives new bidding environment. Iterative application yields stronger than any other policy, culminating Nash supported exclusively by our learned","Double auction, Artificial intelligence, Game theory, Machine learning, Reinforcement learning, Computer science, Bidding, Nash equilibrium",0
natural language interface,2170183673,"XML with incomplete information: models, properties, and query answering","We study models of incomplete information for XML, their computational properties, and query answering. While our approach is motivated by the relational incompleteness, in XML documents may appear not only as null values but also missing structural information. Our goal to provide classification descriptions documents, separate features or groups that lead hard problems from those admit efficient algorithms. based on combination with partial documents. The key we consider are consistency descriptions, representability complete ones, show how factors such schema information, presence node ids, affect complexity these main problems, find robust classes permit tractable evaluation.","XML Signature, XML database, Document Structure Description, XML framework, XML validation, XML Schema Editor, Data mining, XML schema, XML Catalog, Computer science",0
efficient estimation of word representations in vector space,40730796,Metric subspace indexing for fast spoken term detection.,,"Artificial intelligence, Speech recognition, Search engine indexing, Pattern recognition, Indexation, Computer science, Subspace topology",0
efficient estimation of word representations in vector space,2167294216,Space-efficient substring occurrence estimation,"We study the problem of estimating number occurrences substrings in textual data: text on some alphabet size is preprocessed and an index built. The used lieu to answer queries form CountH( ), returning approximated arbitrary pattern as substring has its main application selectivity estimation related LIKE predicate databases [15, 14, 5]. Our focus obtaining algorithmic solution with guaranteed error rates small footprint. To achieve that, we first enrich previous work area compressed text-indexing [8, 11, 6, 17] providing optimal data structure that requires ?(| |logA/ bits where additive any answer. also approach issue guaranteeing exact answers for sufficiently frequent patterns, whose scales amount such patterns. theoretical findings are sustained by experiments showing practical impact our structures.","Data structure, Pattern matching, Of the form, Discrete mathematics, Substring index, Word error rate, Predicate (grammar), Substring, Artificial intelligence, Pattern recognition, Computer science, Indexation",0
efficient estimation of word representations in vector space,2048589878,Comparison of stochastic and deterministic solution methods in Bayesian estimation of 2D motion,"The estimation of 2D motion from spatio-temporally sampled image sequences is discussed, concentrating on the optimization aspect problem formulated through Bayesian framework based Markov random field (MRF) models. First, Maximum Posteriori Probability (MAP) formulation for over discrete and continuous state spaces reviewed along with solution method using simulated annealing (SA). Then, instantaneous 'freezing' applied to stochastic algorithms resulting in well known deterministic methods. are compared their approximations natural data synthetic as motion.","Artificial intelligence, Markov random field, Simulated annealing, Motion estimation, Motion field, Maximum a posteriori estimation, Pattern recognition, Estimation theory, Mathematical optimization, Stochastic optimization, Mathematics, Gibbs sampling",0
Big data,2537382886,Granular Computing Based Machine Learning in the Era of Big Data,,"Artificial intelligence, Machine learning, Granular computing, Big data, Data science, Computer science",0
Big data,2285252321,Social big data,"The paper presents the methodologies on information fusion for social media.The methodologies, frameworks, and software used to work with big data are given.The state of art in analytic techniques is provided.Social applications various domains described analyzed. Big has become an important issue large number research areas such as mining, machine learning, computational intelligence, fusion, semantic Web, networks. rise different frameworks Apache Hadoop and, more recently, Spark, massive processing based MapReduce paradigm allowed efficient utilisation mining methods learning algorithms domains. libraries Mahout SparkMLib have been designed develop new algorithms. combination technologies traditional generated interesting challenges other media These focused mainly problems processing, storage, representation, how can be pattern analysing user behaviours, visualizing tracking data, among others. In this paper, we present revision that allow from currently appearing under ""umbrella"" networks, paradigms.","Machine learning, Social media, Artificial intelligence, Semantic Web, External Data Representation, Data science, Big data, Software, Data stream mining, Data mining, Social network, Computational intelligence, Computer science",0
converting word to speech,1610857240,Emotion-State conversion for speaker recognition,The performance of speaker recognition system is easily disturbed by the changes internal states human. ongoing work proposes an approach speech emotion-state conversion to improve identification over various affective speech. features neutral are modified according statistical prosodic parameters emotion utterances. Speaker models generated based on converted experiments conducted corpus with 14 shows promising results improved 7.2%.,"Speaker recognition, Computer science, Speech recognition, Speaker diarisation, System identification, Affect (psychology), User interface, Cognition",0
natural language interface,2036429204,A Vietnamese Natural Language Interface to Database,"In this paper, we present Vietnamese Natural Language Inter face to survey dat abase for individuals and businesses who want know economic information from surveys. We carry out analysis of various question types investigate the st ability our approach using GATE framework language. Our system uses language specifically deal with statistical types. Experiment results are very promising where achieves an accuracy 78.5% on domain.","Vietnamese, Semantics, Natural language, Question answering, Database, Natural language user interface, Natural language processing, Data mining, Artificial intelligence, Computer science",0
natural language interface,2107922666,A flexible structured-based representation for XML document mining,"This paper reports on the INRIA group’s approach to XML mining while participating in INEX Mining track 2005. We use flexible representation of documents that allows taking into account structure only or both and content. Our consists representing by set their sub-paths, defined according some criteria (length, root beginning, leaf ending). By considering those sub-paths as words, we can standard methods for vocabulary reduction, simple clustering such k-means. an implementation algorithm known dynamic clouds work with distinct groups independent modalities put separate variables. is useful our model since embedded are not independent: split potentially dependant paths variables, resulting each them containing independant paths. Experiments collections show good results structure-only collections, but could scale well large structure-and-content collections.","Data mining, Computer science, Information retrieval, XML database, XML validation, XML schema, Document Structure Description, XML framework, XML Catalog, Efficient XML Interchange, Simple API for XML",0
reinforcement learning in video game,2107258367,Deep Apprenticeship Learning for Playing Video Games,"Recently it has been shown that deep neural networks can learn to play Atari games by directly observing raw pixels of the playing area. We show how apprenticeship learning be applied in this setting so an agent perform task (i.e. game) expert, without any explicitly provided knowledge game’s internal state or objectives.","Machine learning, Reinforcement learning, Deep learning, Artificial neural network, Apprenticeship learning, Computer science, Artificial intelligence",0
Big data,2017306162,Querying big data,"The term ""Big Data"" became buzzword and is widely used in both research industrial worlds. Typically the concept of big data assumes variety different sources information velocity complex analytical processing, rather than just huge growing volume data. All variety, velocity, create new challenges, as nearly all techniques tools commonly processing have to be re-considered. Variety uncertainty require mixture exact similarity search grouping objects based on attributes. High-level declarative query languages are important this context due expressiveness potential for optimization. In talk we mostly interested an algebraic layer which resides between user interface (most likely, graphical) execution engine layered system architecture. We analyze applicability existing models languages. describe systematic approach handling objects, simultaneous application measures querying paradigms, searching querying, combined semi-structured unstructured search. introduce adaptive abstract operations fuzzy set, needed support uniform kinds processing. To ensure efficient implementation, approximate algorithms with controlled quality required enable versus performance trade-off timeliness Uniform high-level definition queries provide options","Data mining, Algebraic number, Theoretical computer science, Query language, Fuzzy set, Big data, Computer science, Systems architecture, Data processing, User interface, Nearest neighbor search",0
natural language interface,2134790312,Towards a Natural Language Interface for CAD,"We propose natural language interface as part of the solution to problems posed by continuing increase in number and sophistication CAD tools. The advantages for are numerous, but complexity domain renders most previous work interfaces limited utility. describe new approach understanding which we implementing an currently under development. This is based on flexibility, parallelism, redundancy. present status (named Cleopatra) described, some imperative improvements discussed.","Natural language, Redundancy (engineering), Natural language understanding, Sophistication, Natural language processing, Very-large-scale integration, Natural language user interface, Interface description language, Computer science, Electronic design automation, Artificial intelligence",0
reinforcement learning in video game,2154623234,Probably Approximately Correct (PAC) exploration in reinforcement learning,"Reinforcement Learning (RL) Markov Decision Processes is studied with an emphasis on the well-studied exploration problem. We first formulate and discuss definition of “efficient” algorithms that termed Probably Approximately Correct (PAC) in RL. Next we provide general sufficient conditions for such algorithm applies to several different modeling assumptions. The can be used demonstrate efficient learning possible finite MDPs, either model-based or model-free approach, factored continuous MDPs linear dynamics. In reinforcement-learning problem (Sutton Barto 1998), agent acts unknown incompletely known environment goal maximizing external reward signal. most standard mathematical formulation problem, modeled as Process (MDP) obtain near-optimal discounted return. Over years, many have been proposed this but analyses their performances relatively scarce. fact, until recently, theoretical guarantees certain will discover optimal policy limit, after infinite amount experience. contrast, attempts made study “Probably Correct” PAC-MDP algorithms, which exhibit behavior polynomial time This paper discusses extensions those results. present theorem provides PAC-MDP. examine these show how they applied prove three interesting scenerios: (i.e. “Tabular case”),","Time complexity, Q-learning, Reinforcement learning, Probably approximately correct learning, Markov decision process, Mathematical optimization, Machine learning, Artificial intelligence, Exploration problem, Computer science",0
